Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
408,Mateo Pavlović,BIH,DF,Angers,29,1990,9.0,6,0.67,5,0,0,1,0,0,1,0.11,1,0,0,0,0,0
409,Dimitri Payet,FRA,FW|MF,Marseille,32,1987,21.4,146,6.81,68,51,12,7,8,0,13,0.61,7,3,2,1,0,0
410,Jordan Pefok,USA,FW,Rennes,23,1996,4.9,11,2.25,9,0,1,0,1,0,1,0.20,1,0,0,0,0,0
411,Yohann Pelé,FRA,GK,Marseille,36,1982,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
412,Théo Pellenard,FRA,DF,Angers,25,1994,5.1,12,2.38,9,3,0,0,0,0,0,0.00,0,0,0,0,0,0
413,Andy Pelmard,FRA,DF,Nice,19,2000,8.5,3,0.35,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
414,Mathias Pereira Lage,POR,MF,Angers,22,1996,17.1,51,2.98,37,2,2,3,7,0,6,0.35,4,0,1,0,1,0
415,Romain Perraud,FRA,DF,Brest,21,1997,18.6,32,1.72,28,2,1,0,0,1,3,0.16,3,0,0,0,0,0
416,Loïc Perrin,FRA,DF,Saint-Étienne,33,1985,19.0,13,0.68,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0
417,Lucas Perrin,FRA,DF,Marseille,20,1998,4.0,3,0.75,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
418,Danijel Petković,MNE,GK,Angers,26,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
419,Denis Petrić,SRB,GK,Nantes,31,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
420,Rayan Philippe,FRA,FW,Dijon,18,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
421,Romain Philippoteaux,FRA,FW|MF,Nîmes,31,1988,22.2,64,2.89,40,8,8,3,5,0,4,0.18,2,1,0,0,1,0
422,Jérémy Pied,FRA,DF,Lille,30,1989,5.0,10,2.00,6,2,0,1,1,0,0,0.00,0,0,0,0,0,0
423,Maxime Poundjé,FRA,DF,Bordeaux,26,1992,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
424,Percy Prado,PER,DF,Nantes,23,1996,2.1,1,0.49,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
425,Sanjin Prcić,BIH,MF|FW,Strasbourg,25,1993,0.9,1,1.15,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
426,Nicolas de Préville,FRA,MF|FW,Bordeaux,28,1991,22.2,98,4.42,46,24,7,7,12,2,12,0.54,6,2,2,2,0,0
427,Nemanja Radonjić,SRB,FW|MF,Marseille,23,1996,9.8,30,3.07,17,1,6,3,3,0,2,0.20,1,0,1,0,0,0
