Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
83,Kingsley Coman,FRA,FW|MF,Bayern Munich,26,1996,15.7,11,8,3,5,3,7,17,41.2,10,19,1,18,2,13,7,0
84,Danny da Costa,GER,DF,Mainz 05,29,1993,13.7,20,16,7,8,5,12,20,60.0,8,22,3,19,9,29,26,0
85,Soumaïla Coulibaly,FRA,DF,Dortmund,18,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
86,Tanguy Coulibaly,FRA,FW|DF,Stuttgart,21,2001,3.6,12,9,9,1,2,5,12,41.7,7,10,0,10,3,15,0,0
87,Nicolas Cozza,FRA,DF,Wolfsburg,23,1999,1.1,3,3,1,2,0,2,3,66.7,1,3,1,2,0,3,0,0
88,Moanes Dabbur,ISR,FW,Hoffenheim,30,1992,10.4,11,8,4,5,2,3,9,33.3,6,8,0,8,5,16,0,0
89,Finn Dahmen,GER,GK,Mainz 05,24,1998,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
90,Mahmoud Dahoud,GER,MF,Dortmund,26,1996,3.7,11,9,3,4,4,7,7,100.0,0,6,2,4,7,18,3,0
91,Muhammed Damar,GER,MF,Hoffenheim,18,2004,1.8,6,3,1,2,3,1,2,50.0,1,3,0,3,0,6,0,0
92,Márton Dárdai,GER,DF|MF,Hertha BSC,20,2002,10.5,17,8,9,8,0,9,18,50.0,9,14,9,5,11,28,45,1
93,Vladimír Darida,CZE,MF,Hertha BSC,31,1990,0.3,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
94,Alphonso Davies,CAN,DF,Bayern Munich,21,2000,22.7,45,28,25,13,7,18,39,46.2,21,28,4,24,24,69,24,4
95,Thomas Delaney,DEN,MF,Hoffenheim,30,1991,3.3,6,3,3,2,1,3,8,37.5,5,5,0,5,1,7,4,0
96,Kerem Demirbay,GER,MF,Leverkusen,29,1993,17.2,36,18,16,17,3,18,34,52.9,16,26,6,20,16,52,11,0
97,Ermedin Demirović,BIH,FW|MF,Augsburg,24,1998,26.3,31,14,9,12,10,9,22,40.9,13,31,4,27,14,45,37,0
98,Sepp van den Berg,NED,DF,Schalke 04,20,2001,7.7,5,4,2,2,1,1,4,25.0,3,8,5,3,13,18,33,2
99,Moussa Diaby,FRA,FW|MF,Leverkusen,23,1999,30.0,14,8,4,8,2,7,14,50.0,7,8,0,8,5,19,3,0
100,Abdou Diallo,SEN,DF|MF,RB Leipzig,26,1996,5.3,6,5,5,1,0,1,3,33.3,2,8,5,3,8,14,22,0
101,Justin Diehl,GER,MF|FW,Köln,17,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
