Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
735,Lucas Torreira,URU,MF,Fiorentina,25,1996,31,2195,71,64.2,24.4,26,81,12,5,20,3,1.52,42,32,+10,+0.41,+0.56,45.3,23.9,+21.4,+0.88,+1.02
736,Abdoulaye Touré,GUI,MF,Genoa,27,1994,8,430,54,12.6,4.8,6,67,1,2,14,10,0.75,4,9,-5,-1.05,-0.20,3.3,7.9,-4.6,-0.96,-0.59
737,Lisandru Tramoni,FRA,FW,Cagliari,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
738,Simone Trimboli,ITA,MF,Sampdoria,19,2002,5,65,13,1.9,0.7,0,,0,5,13,30,0.60,1,2,-1,-1.38,-0.96,1.8,2.0,-0.2,-0.34,+0.18
739,Filippo Tripi,ITA,MF,Roma,19,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,
740,Axel Tuanzebe,ENG,DF,Napoli,23,1997,1,11,11,0.3,0.1,0,,0,1,11,9,3.00,0,0,0,0.00,-1.14,0.2,0.1,+0.1,+0.57,-0.09
741,Mattia Turra,ITA,MF,Hellas Verona,18,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
742,Destiny Udogie,ITA,DF,Udinese,18,2002,35,2477,71,72.4,27.5,29,80,16,6,26,1,1.23,50,39,+11,+0.40,+1.16,40.2,35.1,+5.1,+0.19,+0.77
743,Samir Ujkani,KVX,GK,Empoli,33,1988,0,,,,,0,,0,0,,35,,,,,,,,,,,
744,Maximilian Ullmann,AUT,DF,Venezia,25,1996,5,246,49,7.2,2.7,2,90,2,3,22,10,0.20,3,6,-3,-1.10,-0.19,2.0,7.9,-5.9,-2.17,-1.34
745,Kacper Urbanski,POL,MF,Bologna,16,2004,1,45,45,1.3,0.5,0,,0,1,45,0,3.00,1,0,+1,+2.00,+2.32,0.5,0.5,0.0,-0.10,+0.11
746,Antonio Vacca,ITA,MF,Venezia,31,1990,21,1064,51,31.1,11.8,15,57,0,6,35,2,0.81,17,18,-1,-0.08,+1.21,14.1,18.7,-4.6,-0.39,+0.78
747,Zinho Vanheusden,BEL,DF,Genoa,22,1999,14,989,71,28.9,11.0,11,83,8,3,25,4,0.57,8,25,-17,-1.55,-0.95,9.7,17.3,-7.5,-0.69,-0.34
748,Johan Vásquez,MEX,DF,Genoa,22,1998,28,2279,81,66.6,25.3,27,83,22,1,35,7,0.71,14,31,-17,-0.67,+0.59,21.3,34.3,-13.0,-0.51,-0.21
749,Denis Vavro,SVK,DF,Lazio,25,1996,1,8,8,0.2,0.1,0,,0,1,8,12,3.00,0,0,0,0.00,-0.50,0.1,0.0,+0.1,+1.50,+1.30
750,Matías Vecino,URU,MF,Inter,29,1991,17,377,22,11.0,4.2,2,78,1,15,15,18,2.18,12,4,+8,+1.91,+0.61,12.5,3.9,+8.6,+2.08,+1.07
751,Miguel Veloso,POR,MF,Hellas Verona,35,1986,22,1343,61,39.3,14.9,17,73,8,5,19,3,1.50,24,25,-1,-0.07,-0.37,22.0,17.9,+4.2,+0.28,+0.40
752,Lorenzo Venuti,ITA,DF,Fiorentina,26,1995,23,1571,68,45.9,17.5,20,77,11,3,14,12,1.87,26,21,+5,+0.29,+0.14,25.2,15.3,+9.9,+0.56,+0.10
753,Daniele Verde,ITA,FW|MF,Spezia,25,1996,33,1957,59,57.2,21.7,21,77,7,12,29,2,0.94,31,46,-15,-0.69,+0.23,24.2,34.9,-10.7,-0.49,+0.34
754,Simone Verdi,ITA,MF|FW,Torino,29,1992,3,46,15,1.3,0.5,0,,0,3,15,6,1.00,3,2,+1,+1.96,+1.85,0.3,0.6,-0.2,-0.46,-0.73
755,Simone Verdi,ITA,FW|MF,Salernitana,29,1992,15,829,55,24.2,9.2,11,68,0,4,20,1,1.07,10,17,-7,-0.76,+0.56,11.3,16.7,-5.4,-0.58,+0.23
756,Jordan Veretout,FRA,MF,Roma,28,1993,36,2319,64,67.8,25.8,26,82,9,10,20,0,1.58,44,29,+15,+0.58,+0.50,44.6,26.6,+18.0,+0.70,-0.02
757,Edoardo Vergani,ITA,FW|MF,Salernitana,20,2001,6,102,17,3.0,1.1,1,61,0,5,8,13,0.17,2,4,-2,-1.76,-0.60,0.5,5.2,-4.6,-4.08,-3.42
758,Antonio Vergara,ITA,FW,Napoli,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
759,Valerio Verre,ITA,MF|FW,Sampdoria,27,1994,11,420,38,12.3,4.7,6,51,0,5,23,0,1.36,6,11,-5,-1.07,-0.71,4.5,7.4,-2.9,-0.62,-0.13
760,Valerio Verre,ITA,MF,Empoli,27,1994,8,310,39,9.1,3.4,4,63,0,4,15,4,0.88,2,5,-3,-0.87,-0.38,3.9,5.0,-1.1,-0.33,+0.25
