Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
78,Leonardo Bonucci,ITA,DF,Juventus,34,1987,22.3,18,0.81,17,0,0,1,0,0,2,0.09,2,0,0,0,0,0
79,Mehdi Bourabia,MAR,MF,Spezia,29,1991,3.1,5,1.61,3,0,2,0,0,0,2,0.64,0,0,2,0,0,0
80,Edoardo Bove,ITA,MF|DF,Roma,19,2002,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
81,Josip Brekalo,CRO,MF,Torino,23,1998,25.4,122,4.80,82,23,7,7,3,0,9,0.35,6,1,2,0,0,0
82,Gleison Bremer,BRA,DF,Torino,24,1997,32.1,23,0.72,14,1,0,6,0,2,2,0.06,1,0,0,1,0,0
83,Marcelo Brozović,CRO,MF,Inter,28,1992,32.6,98,3.00,89,2,1,2,1,3,12,0.37,12,0,0,0,0,0
84,Aleksander Buksa,POL,FW,Genoa,18,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
85,Alessandro Buongiorno,ITA,DF,Torino,22,1999,13.1,9,0.68,6,0,0,2,1,0,3,0.23,2,0,0,1,0,0
86,Gianluca Busio,USA,MF,Venezia,19,2002,21.7,40,1.85,26,9,0,1,3,1,3,0.14,2,1,0,0,0,0
87,Jovane Cabral,CPV,FW,Lazio,23,1998,2.1,4,1.89,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
88,Liberato Cacace,NZL,DF,Empoli,20,2000,5.2,5,0.96,3,1,0,0,1,0,1,0.19,1,0,0,0,0,0
89,Martín Cáceres,URU,DF,Cagliari,34,1987,9.2,14,1.51,12,0,0,2,0,0,1,0.11,1,0,0,0,0,0
90,Felipe Caicedo,ECU,FW,Genoa,32,1988,3.2,9,2.85,6,0,0,1,2,0,3,0.95,2,0,0,0,1,0
91,Felipe Caicedo,ECU,FW|DF,Inter,32,1988,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
92,Davide Calabria,ITA,DF,Milan,24,1996,23.5,47,2.00,32,4,3,6,2,0,6,0.25,3,0,0,3,0,0
93,Riccardo Calafiori,ITA,DF,Genoa,19,2002,0.9,1,1.10,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
94,Riccardo Calafiori,ITA,DF,Roma,19,2002,1.9,4,2.09,3,0,1,0,0,0,2,1.05,1,0,1,0,0,0
