Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
419,Alex Meret,ITA,GK,Napoli,21,1997,14,1151,82,33.7,12.8,13,85,12,1,47,11,2.21,28,9,+19,+1.49,+0.73,21.2,12.6,+8.6,+0.67,+0.08
420,Dries Mertens,BEL,FW,Napoli,31,1987,35,2252,64,65.8,25.0,23,82,13,12,31,2,2.00,55,19,+36,+1.44,+1.28,41.8,23.6,+18.2,+0.73,+0.31
421,Petar Mićin,SRB,MF,Udinese,19,1998,1,3,3,0.1,0.0,0,,0,1,3,28,3.00,0,0,0,0.00,+0.37,0.0,1.2,-1.2,-36.47,-36.05
422,Nikola Milenković,SRB,DF,Fiorentina,20,1997,34,3008,88,88.0,33.4,34,88,32,0,,1,0.97,36,37,-1,-0.03,-0.69,46.9,32.0,+14.8,+0.44,+0.84
423,Arkadiusz Milik,POL,FW,Napoli,24,1994,35,2396,68,70.1,26.6,27,82,17,8,24,3,2.00,55,25,+30,+1.13,+0.42,42.1,27.0,+15.2,+0.57,-0.17
424,Sergej Milinković-Savić,SRB,MF,Lazio,23,1995,31,2396,77,70.1,26.6,29,81,18,2,20,1,1.52,39,27,+12,+0.45,+0.63,43.9,28.4,+15.4,+0.58,+0.76
425,Vanja Milinković-Savić,SRB,GK,SPAL,21,1997,2,164,82,4.8,1.8,2,82,1,0,,16,1.50,3,4,-1,-0.55,-0.24,2.5,3.4,-0.9,-0.49,-0.31
426,Vincenzo Millico,ITA,MF,Torino,17,2000,1,1,1,0.0,0.0,0,,0,1,1,9,3.00,0,0,0,0.00,-0.39,0.0,0.0,0.0,0.00,+0.03
427,Kevin Mirallas,BEL,FW|MF,Fiorentina,30,1987,27,1299,48,38.0,14.4,15,68,4,12,23,6,1.00,13,14,-1,-0.07,-0.20,21.3,14.2,+7.1,+0.49,+0.24
428,Miranda,BRA,DF,Inter,33,1984,14,1158,83,33.9,12.9,14,83,11,0,,20,1.57,16,11,+5,+0.39,-0.37,18.0,16.6,+1.4,+0.11,-0.85
429,Antonio Mirante,ITA,GK,Roma,35,1983,11,990,90,28.9,11.0,11,90,11,0,,24,2.00,16,6,+10,+0.91,+0.61,16.3,12.6,+3.7,+0.33,+0.01
430,Simone Missiroli,ITA,MF,SPAL,32,1986,34,2741,81,80.1,30.5,33,82,23,1,26,1,1.24,35,40,-5,-0.16,+0.76,35.4,38.2,-2.8,-0.09,+0.51
431,Abukar Mohamed,FIN,MF,Lazio,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
432,Cristian Molinaro,ITA,DF|MF,Frosinone,35,1983,14,1159,83,33.9,12.9,13,87,11,1,31,22,0.21,9,31,-22,-1.71,-0.99,13.2,25.0,-11.8,-0.92,-0.47
433,Gabriele Moncini,ITA,MF,SPAL,22,1996,1,8,8,0.2,0.1,0,,0,1,8,11,0.00,0,0,0,0.00,+0.32,0.0,0.4,-0.3,-3.75,-3.57
434,Cristóbal Montiel,ESP,FW,Fiorentina,18,2000,1,6,6,0.2,0.1,0,,0,1,6,11,1.00,0,0,0,0.00,-0.05,0.5,0.0,+0.5,+6.86,+6.53
435,Riccardo Montolivo,ITA,MF,Milan,33,1985,0,,,,,0,,0,0,,17,,,,,,,,,,,
436,Pablo Moreno,ESP,FW,Juventus,16,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
437,Emiliano Moretti,ITA,DF,Torino,37,1981,24,2010,84,58.8,22.3,22,90,21,2,20,12,1.96,31,19,+12,+0.54,+0.35,27.5,25.5,+2.0,+0.09,+0.28
438,Samuel Mráz,SVK,FW,Empoli,21,1997,6,170,28,5.0,1.9,2,54,0,4,16,15,0.17,1,4,-3,-1.59,-1.15,3.1,3.6,-0.5,-0.28,+0.02
439,Gianni Munari,ITA,MF,Parma,35,1983,1,3,3,0.1,0.0,0,,0,1,3,0,0.00,0,0,0,0.00,+0.53,0.6,0.0,+0.6,+18.65,+19.33
440,Simone Muratore,ITA,MF,Juventus,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
441,Alessandro Murgia,ITA,MF,SPAL,21,1996,15,1072,71,31.3,11.9,11,84,7,4,36,1,1.40,22,19,+3,+0.25,+0.83,13.8,15.0,-1.1,-0.10,+0.14
442,Alessandro Murgia,ITA,MF,Lazio,21,1996,1,9,9,0.3,0.1,0,,0,1,9,19,3.00,0,0,0,0.00,-0.26,0.0,0.0,0.0,+0.03,-0.32
443,Luis Muriel,COL,FW,Fiorentina,27,1991,19,1441,76,42.1,16.0,16,85,11,3,27,0,0.79,19,19,0,0.00,-0.09,20.8,19.6,+1.1,+0.07,-0.47
