Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
275,Kevin Long,IRL,DF,Burnley,29,1990,7.1,2,0,0,7,2,0,1,6,6,0,0,0,40,18,21,46.2
276,Shane Long,IRL,FW,Southampton,33,1987,2.3,0,0,0,7,6,3,0,3,1,0,0,0,7,12,10,54.5
277,Matthew Longstaff,ENG,MF,Newcastle Utd,20,2000,4.2,0,0,0,3,5,0,4,7,2,0,0,0,24,5,4,55.6
278,Sean Longstaff,ENG,MF,Newcastle Utd,22,1997,15.7,2,0,0,22,21,0,25,19,14,0,0,0,67,11,19,36.7
279,Ademola Lookman,NGA,FW|MF,Fulham,22,1997,30.5,5,0,0,46,59,12,134,20,11,0,0,0,168,7,22,24.1
280,Max Lowe,ENG,DF,Sheffield Utd,23,1997,6.1,1,0,0,10,3,0,22,5,11,0,0,0,25,5,20,20.0
281,Matthew Lowton,ENG,DF,Burnley,31,1989,34.0,5,0,0,19,13,0,84,56,32,0,0,0,196,33,23,58.9
282,David Luiz,BRA,DF,Arsenal,33,1987,15.5,1,1,0,15,5,1,9,16,9,0,1,0,64,35,13,72.9
283,Douglas Luiz,BRA,MF,Aston Villa,22,1998,30.9,10,1,1,59,48,0,23,43,18,0,2,0,208,42,41,50.6
284,John Lundstram,ENG,MF,Sheffield Utd,26,1994,22.6,8,1,0,24,20,1,71,14,16,0,0,0,130,13,17,43.3
285,Alexis Mac Allister,ARG,MF|FW,Brighton,21,1998,12.4,1,0,0,19,15,0,11,9,12,0,0,0,67,7,19,26.9
286,James Maddison,ENG,MF,Leicester City,23,1996,23.3,4,0,0,19,57,5,106,9,16,2,0,0,98,2,11,15.4
287,Harry Maguire,ENG,DF,Manchester Utd,27,1993,33.9,11,0,0,40,31,1,3,60,17,0,0,0,199,135,43,75.8
288,Riyad Mahrez,ALG,FW,Manchester City,29,1991,21.7,0,0,0,13,30,7,81,8,5,0,0,0,80,15,14,51.7
289,Ainsley Maitland-Niles,ENG,MF|DF,Arsenal,22,1997,5.4,0,0,0,6,3,2,8,14,7,1,0,0,39,3,3,50.0
290,Ainsley Maitland-Niles,ENG,MF,West Brom,22,1997,13.7,2,0,0,10,14,0,12,17,10,1,0,0,77,5,19,20.8
291,Josh Maja,NGA,FW,Fulham,21,1998,9.0,0,0,0,8,7,2,0,4,4,0,0,0,28,12,26,31.6
292,Sadio Mané,SEN,FW,Liverpool,28,1992,31.2,3,0,0,53,78,31,60,15,30,1,0,0,117,35,63,35.7
293,Javier Manquillo,ESP,DF,Newcastle Utd,26,1994,9.2,1,0,0,7,8,0,28,9,14,0,0,0,44,14,10,58.3
