Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
119,Jean-Charles Castelletto,CMR,DF,Nantes,26,1995,27.9,1,16,4,25.0,0.57,0.14,0.06,0.25,10.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2
120,Zeki Çelik,TUR,DF,Lille,24,1997,30.0,2,23,3,13.0,0.77,0.10,0.09,0.67,19.5,0,0,0,1.1,1.1,0.05,+0.9,+0.9
121,Fabien Centonze,FRA,DF,Metz,25,1996,17.6,4,15,7,46.7,0.85,0.40,0.27,0.57,20.8,0,0,0,0.7,0.7,0.05,+3.3,+3.3
122,El Chadaille Bitshiabu,FRA,DF,Paris S-G,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
123,Nassim Chadli,FRA,MF|DF,Troyes,20,2001,1.1,0,2,0,0.0,1.87,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
124,Mehdi Chahiri,MAR,DF,Strasbourg,25,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
125,Dylan Chambost,FRA,MF|FW,Troyes,23,1997,8.4,0,10,1,10.0,1.20,0.12,0.00,0.00,20.6,1,0,0,0.6,0.6,0.06,-0.6,-0.6
126,Brendan Chardonnet,FRA,DF,Brest,26,1994,29.8,3,14,6,42.9,0.47,0.20,0.21,0.50,13.7,0,0,0,1.4,1.4,0.10,+1.6,+1.6
127,Xavier Chavalerin,FRA,MF,Troyes,30,1991,30.2,5,31,10,32.3,1.03,0.33,0.16,0.50,19.0,0,0,0,1.4,1.4,0.05,+3.6,+3.6
128,Xavier Chavalerin,FRA,MF,Reims,30,1991,2.4,0,3,0,0.0,1.23,0.00,0.00,,19.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
129,Rayan Cherki,FRA,FW|MF,Lyon,17,2003,4.9,0,14,3,21.4,2.86,0.61,0.00,0.00,21.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6
130,Pedro Chirivella,ESP,MF,Nantes,24,1997,29.3,3,21,6,28.6,0.72,0.20,0.14,0.50,21.2,0,0,0,1.0,1.0,0.05,+2.0,+2.0
131,Joris Chotard,FRA,MF,Montpellier,19,2001,32.6,1,18,3,16.7,0.55,0.09,0.06,0.33,20.9,0,0,0,0.9,0.9,0.05,+0.1,+0.1
132,Alexis Claude-Maurice,FRA,MF,Nice,23,1998,2.3,0,6,1,16.7,2.58,0.43,0.00,0.00,18.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
133,Jonathan Clauss,FRA,DF,Lens,28,1992,33.8,5,40,16,40.0,1.18,0.47,0.13,0.31,22.1,12,0,0,3.0,3.0,0.07,+2.0,+2.0
