,Player,Nation,Pos,Squad,Born,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Score,Gk_Score
432,Robert Sánchez,ESP,GK,Brighton,1997.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,4.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,17.0,0.0,100.0,1082.0,1525.0,71.0,28041.0,16948.0,200.0,200.0,100.0,601.0,612.0,98.2,277.0,699.0,39.6,0.0,0.4,0.2,-0.4,3.0,26.0,0.0,0.0,1.0,36.0,3189.0,89.0,93.2,35.4,35.0,90.0,35.0,1.0,39.0,0.0,1.22,49.0,49.0,0.0,0.0,0.78,42.0,46.8,-4.9,-0.14,-0.1,1612.0,1185.0,1591.0,21.0,0.0,0.0,1612.0,0.0,0.0,0.0,0.0,0.0,988.0,5245.0,3617.0,0.0,0.0,0.0,0.0,0.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
433,Jadon Sancho,ENG,FW|MF,Manchester Utd,2000.0,14.0,8.0,9.0,4.0,1.0,8.0,22.0,36.4,14.0,19.0,0.0,19.0,15.0,29.0,5.0,3.0,88.0,4.17,73.0,3.0,9.0,2.0,1.0,0.0,9.0,0.43,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,28.0,15.0,8.0,0.0,0.0,0.0,112.0,2.0,11.0,15.4,805.0,984.0,81.8,10392.0,2336.0,525.0,602.0,87.2,218.0,271.0,80.4,21.0,30.0,70.0,3.0,4.1,3.6,-1.1,41.0,31.0,39.0,7.0,88.0,36.0,3101.0,86.0,90.7,34.5,35.0,88.0,32.0,1.0,18.0,1.0,1.22,45.0,43.0,2.0,0.06,-0.51,40.7,37.9,2.7,0.08,-0.74,1188.0,11.0,146.0,451.0,610.0,105.0,1188.0,85.0,47.0,55.3,38.0,44.7,770.0,5515.0,3067.0,111.0,70.0,43.0,44.0,27.0,928.0,222.0,3.0,26.0,9.0,34.6,1.23,0.43,0.12,0.33,14.1,0.0,0.0,0.0,3.6,3.6,0.14,-0.6,-0.6,,0
434,Morgan Sanson,FRA,MF,Aston Villa,1994.0,12.0,8.0,7.0,2.0,3.0,3.0,7.0,42.9,4.0,13.0,0.0,13.0,10.0,22.0,2.0,1.0,2.0,0.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,8.0,10.0,8.0,0.0,0.0,0.0,33.0,3.0,6.0,33.3,123.0,162.0,75.9,1851.0,506.0,72.0,78.0,92.3,40.0,53.0,75.5,6.0,15.0,40.0,0.0,0.0,0.1,0.0,1.0,18.0,1.0,1.0,21.0,28.0,1701.0,61.0,49.7,18.9,19.0,81.0,10.0,9.0,18.0,2.0,1.18,17.0,23.0,-6.0,-0.32,-0.53,20.4,21.2,-0.8,-0.04,-0.26,223.0,6.0,45.0,140.0,47.0,1.0,223.0,16.0,13.0,81.3,3.0,18.8,146.0,971.0,489.0,16.0,10.0,1.0,5.0,10.0,141.0,10.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0
435,Samir Santos,BRA,DF,Watford,1994.0,24.0,11.0,18.0,6.0,0.0,8.0,19.0,42.1,11.0,21.0,11.0,10.0,43.0,67.0,85.0,3.0,7.0,0.38,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,16.0,0.0,0.0,43.0,11.0,0.0,0.0,0.0,103.0,47.0,34.0,58.0,538.0,669.0,80.4,10401.0,3673.0,185.0,202.0,91.6,292.0,328.0,89.0,55.0,125.0,44.0,0.0,0.1,0.1,-0.1,2.0,27.0,2.0,0.0,24.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,0.0,,,,,0.0,872.0,118.0,549.0,311.0,18.0,10.0,872.0,3.0,2.0,66.7,1.0,33.3,405.0,1676.0,843.0,1.0,4.0,1.0,6.0,3.0,452.0,2.0,0.0,8.0,2.0,25.0,0.43,0.11,0.0,0.0,13.0,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,,0
436,Josh Sargent,USA,FW|MF,Norwich City,2000.0,26.0,14.0,15.0,7.0,4.0,14.0,39.0,35.9,25.0,29.0,2.0,27.0,11.0,37.0,18.0,2.0,25.0,1.43,17.0,0.0,1.0,3.0,4.0,0.0,3.0,0.17,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,23.0,4.0,11.0,11.0,14.0,0.0,0.0,0.0,70.0,40.0,48.0,45.5,292.0,410.0,71.2,3577.0,820.0,208.0,258.0,80.6,63.0,96.0,65.6,8.0,16.0,50.0,1.0,0.9,1.2,0.1,11.0,8.0,5.0,0.0,12.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,634.0,32.0,126.0,248.0,272.0,56.0,634.0,32.0,16.0,50.0,16.0,50.0,312.0,1723.0,663.0,21.0,14.0,6.0,52.0,25.0,388.0,88.0,2.0,24.0,2.0,8.3,1.37,0.11,0.08,1.0,17.1,0.0,0.0,0.0,2.5,2.5,0.1,-0.5,-0.5,,0
437,Jeremy Sarmiento,ECU,FW|MF,Brighton,2002.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3,14.0,20.0,70.0,156.0,37.0,8.0,12.0,66.7,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,0.0,,,,,0.0,31.0,0.0,2.0,9.0,21.0,1.0,31.0,4.0,1.0,25.0,3.0,75.0,18.0,195.0,103.0,4.0,1.0,1.0,4.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
438,Ismaila Sarr,SEN,FW|MF,Watford,1998.0,12.0,7.0,4.0,3.0,5.0,5.0,19.0,26.3,14.0,10.0,1.0,9.0,9.0,21.0,10.0,0.0,52.0,2.51,38.0,0.0,5.0,2.0,6.0,1.0,4.0,0.19,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,17.0,47.0,12.0,61.0,9.0,7.0,0.0,0.0,0.0,88.0,10.0,17.0,37.0,332.0,478.0,69.5,4981.0,1253.0,182.0,225.0,80.9,105.0,144.0,72.9,21.0,41.0,51.2,2.0,2.9,2.3,-0.9,21.0,21.0,22.0,4.0,52.0,2.0,66.0,33.0,1.9,0.7,1.0,59.0,0.0,1.0,7.0,7.0,2.0,1.0,1.0,0.0,0.0,-1.82,0.7,2.4,-1.7,-2.28,-3.8,720.0,18.0,93.0,251.0,393.0,71.0,719.0,71.0,34.0,47.9,37.0,52.1,493.0,3614.0,1811.0,79.0,50.0,23.0,71.0,40.0,529.0,158.0,5.0,39.0,15.0,38.5,1.89,0.73,0.13,0.33,18.3,0.0,0.0,1.0,4.8,4.0,0.1,0.2,1.0,,0
439,Malang Sarr,FRA,DF,Chelsea,1999.0,14.0,7.0,10.0,2.0,2.0,7.0,12.0,58.3,5.0,6.0,3.0,3.0,11.0,25.0,20.0,0.0,6.0,0.99,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,4.0,11.0,7.0,0.0,0.0,0.0,36.0,13.0,7.0,65.0,432.0,493.0,87.6,7202.0,2241.0,191.0,206.0,92.7,211.0,226.0,93.4,26.0,48.0,54.2,0.0,0.4,0.3,-0.4,3.0,36.0,2.0,1.0,23.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,0.0,,,,,0.0,555.0,31.0,208.0,300.0,48.0,0.0,555.0,0.0,0.0,0.0,0.0,0.0,350.0,1458.0,744.0,9.0,13.0,1.0,6.0,2.0,391.0,15.0,0.0,1.0,0.0,0.0,0.16,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,0
441,Fabian Schär,SUI,DF,Newcastle Utd,1991.0,16.0,11.0,11.0,3.0,2.0,8.0,16.0,50.0,8.0,27.0,18.0,9.0,32.0,48.0,95.0,2.0,31.0,1.29,18.0,6.0,2.0,4.0,1.0,0.0,4.0,0.17,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,11.0,3.0,7.0,32.0,11.0,0.0,0.0,0.0,131.0,45.0,42.0,51.7,698.0,1012.0,69.0,15904.0,7292.0,199.0,251.0,79.3,332.0,402.0,82.6,156.0,326.0,47.9,2.0,1.1,0.9,0.9,9.0,69.0,15.0,1.0,59.0,32.0,2363.0,74.0,69.1,26.3,27.0,85.0,20.0,5.0,16.0,3.0,1.97,56.0,25.0,31.0,1.18,0.16,45.1,23.2,21.9,0.83,0.14,1234.0,159.0,644.0,537.0,74.0,27.0,1234.0,10.0,6.0,60.0,4.0,40.0,645.0,3685.0,2225.0,20.0,15.0,0.0,12.0,5.0,669.0,2.0,2.0,21.0,8.0,38.1,0.88,0.33,0.1,0.25,19.5,4.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8,,0
442,Jeffrey Schlupp,GHA,MF|FW,Crystal Palace,1992.0,46.0,25.0,16.0,23.0,7.0,24.0,50.0,48.0,26.0,39.0,9.0,30.0,18.0,64.0,32.0,0.0,46.0,2.24,33.0,0.0,6.0,4.0,3.0,0.0,7.0,0.34,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,26.0,22.0,0.0,20.0,18.0,25.0,1.0,0.0,0.0,115.0,31.0,39.0,44.3,493.0,668.0,73.8,7971.0,2386.0,249.0,302.0,82.5,201.0,253.0,79.4,29.0,55.0,52.7,1.0,1.6,1.2,-0.6,18.0,46.0,12.0,2.0,70.0,34.0,1775.0,52.0,51.9,19.7,19.0,80.0,6.0,15.0,17.0,2.0,1.88,29.0,21.0,8.0,0.41,-0.74,30.3,21.5,8.9,0.45,-0.27,971.0,46.0,235.0,509.0,243.0,59.0,971.0,58.0,35.0,60.3,23.0,39.7,520.0,2680.0,1218.0,31.0,25.0,11.0,42.0,33.0,565.0,60.0,4.0,33.0,9.0,27.3,1.6,0.44,0.12,0.44,14.3,0.0,0.0,0.0,3.4,3.4,0.1,0.6,0.6,,0
443,Kasper Schmeichel,DEN,GK,Leicester City,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,2.0,7.0,0.19,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,9.0,4.0,69.2,945.0,1294.0,73.0,26527.0,17896.0,149.0,150.0,99.3,462.0,474.0,97.5,329.0,660.0,49.8,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,35.0,2970.0,85.0,86.8,33.0,34.0,87.0,28.0,1.0,12.0,1.0,1.37,32.0,40.0,-8.0,-0.24,-0.84,31.8,48.0,-16.2,-0.49,0.16,1386.0,1213.0,1373.0,13.0,0.0,0.0,1386.0,1.0,1.0,100.0,0.0,0.0,718.0,3805.0,2301.0,1.0,0.0,0.0,2.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
444,Ken Sema,SWE,MF|FW,Watford,1993.0,16.0,6.0,11.0,4.0,1.0,9.0,20.0,45.0,11.0,10.0,0.0,10.0,5.0,21.0,11.0,0.0,22.0,2.32,7.0,9.0,1.0,0.0,4.0,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,7.0,0.0,31.0,5.0,6.0,0.0,0.0,0.0,53.0,12.0,23.0,34.3,140.0,224.0,62.5,2280.0,758.0,84.0,108.0,77.8,35.0,53.0,66.0,15.0,39.0,38.5,0.0,1.3,1.1,-1.3,12.0,7.0,3.0,2.0,8.0,1.0,45.0,45.0,1.3,0.5,0.0,0.0,0.0,1.0,45.0,5.0,0.0,0.0,3.0,-3.0,-6.0,-4.45,0.1,1.9,-1.9,-3.77,-2.67,325.0,19.0,88.0,133.0,111.0,15.0,325.0,27.0,12.0,44.4,15.0,55.6,182.0,1221.0,444.0,19.0,8.0,4.0,18.0,25.0,187.0,36.0,0.0,3.0,1.0,33.3,0.32,0.11,0.0,0.0,20.5,1.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,,0
445,Nélson Semedo,POR,MF|DF,Wolves,1993.0,58.0,39.0,39.0,17.0,2.0,25.0,49.0,51.0,24.0,23.0,4.0,19.0,21.0,79.0,64.0,1.0,44.0,1.86,33.0,1.0,5.0,2.0,2.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,24.0,4.0,32.0,21.0,39.0,0.0,1.0,0.0,155.0,15.0,27.0,35.7,916.0,1169.0,78.4,12766.0,4408.0,567.0,628.0,90.3,290.0,367.0,79.0,31.0,92.0,33.7,1.0,1.3,1.4,-0.3,18.0,62.0,12.0,2.0,78.0,33.0,1473.0,45.0,43.1,16.4,13.0,84.0,9.0,20.0,19.0,5.0,1.24,24.0,35.0,-11.0,-0.67,-0.35,20.2,28.3,-8.2,-0.5,0.0,1487.0,90.0,416.0,605.0,481.0,52.0,1487.0,64.0,39.0,60.9,25.0,39.1,762.0,4570.0,2599.0,79.0,63.0,17.0,51.0,27.0,846.0,146.0,0.0,19.0,4.0,21.1,0.8,0.17,0.0,0.0,20.2,0.0,0.0,0.0,1.6,1.6,0.08,-1.6,-1.6,,0
446,Ryan Sessegnon,ENG,DF|MF,Tottenham,2000.0,25.0,19.0,14.0,7.0,4.0,11.0,22.0,50.0,11.0,18.0,3.0,15.0,7.0,32.0,26.0,0.0,20.0,1.72,19.0,1.0,0.0,0.0,0.0,0.0,4.0,0.34,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,7.0,5.0,38.0,7.0,19.0,0.0,0.0,0.0,40.0,11.0,15.0,42.3,315.0,428.0,73.6,4537.0,1156.0,185.0,218.0,84.9,96.0,132.0,72.7,20.0,41.0,48.8,2.0,2.7,2.4,-0.7,14.0,13.0,12.0,4.0,22.0,18.0,996.0,55.0,29.1,11.1,12.0,72.0,5.0,6.0,22.0,6.0,1.83,18.0,13.0,5.0,0.45,0.71,14.6,12.9,1.7,0.15,0.09,574.0,38.0,166.0,188.0,223.0,39.0,574.0,19.0,6.0,31.6,13.0,68.4,302.0,1779.0,931.0,30.0,7.0,10.0,33.0,12.0,325.0,80.0,0.0,6.0,1.0,16.7,0.52,0.09,0.0,0.0,13.5,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,,0
447,Jamie Shackleton,ENG,DF|MF,Leeds United,1999.0,27.0,16.0,19.0,7.0,1.0,13.0,25.0,52.0,12.0,11.0,7.0,4.0,8.0,35.0,12.0,1.0,10.0,1.27,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,13.0,6.0,0.0,4.0,8.0,16.0,0.0,0.0,0.0,50.0,5.0,15.0,25.0,353.0,409.0,86.3,5216.0,1417.0,180.0,194.0,92.8,151.0,166.0,91.0,9.0,18.0,50.0,0.0,0.0,0.1,0.0,1.0,23.0,2.0,0.0,36.0,13.0,1055.0,81.0,30.8,11.7,12.0,85.0,10.0,1.0,32.0,4.0,1.08,14.0,17.0,-3.0,-0.26,0.51,11.7,12.9,-1.2,-0.1,0.4,499.0,26.0,190.0,225.0,91.0,14.0,499.0,17.0,11.0,64.7,6.0,35.3,246.0,1329.0,719.0,20.0,13.0,4.0,5.0,2.0,276.0,20.0,0.0,4.0,1.0,25.0,0.51,0.13,0.0,0.0,18.3,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,,0
448,Luke Shaw,ENG,DF,Manchester Utd,1995.0,21.0,13.0,9.0,9.0,3.0,12.0,21.0,57.1,9.0,22.0,11.0,11.0,9.0,30.0,22.0,2.0,69.0,3.88,45.0,21.0,1.0,0.0,0.0,2.0,6.0,0.34,5.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,32.0,16.0,3.0,109.0,9.0,13.0,0.0,1.0,0.0,95.0,20.0,15.0,57.1,944.0,1193.0,79.1,14230.0,5275.0,551.0,612.0,90.0,294.0,361.0,81.4,64.0,134.0,47.8,3.0,3.6,2.7,-0.6,39.0,74.0,16.0,5.0,82.0,16.0,904.0,57.0,26.4,10.0,10.0,77.0,5.0,6.0,22.0,8.0,0.94,15.0,20.0,-5.0,-0.5,-0.61,9.1,14.1,-5.0,-0.5,-0.5,1316.0,55.0,293.0,597.0,436.0,15.0,1316.0,14.0,7.0,50.0,7.0,50.0,682.0,3798.0,2191.0,48.0,42.0,3.0,11.0,14.0,836.0,69.0,0.0,6.0,1.0,16.7,0.34,0.06,0.0,0.0,24.7,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,,0
449,Jonjo Shelvey,ENG,MF,Newcastle Utd,1992.0,30.0,17.0,12.0,18.0,0.0,14.0,34.0,41.2,20.0,22.0,7.0,15.0,22.0,52.0,20.0,2.0,43.0,1.95,33.0,7.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,18.0,8.0,0.0,43.0,22.0,17.0,0.0,0.0,0.0,160.0,10.0,10.0,50.0,743.0,948.0,78.4,15780.0,5306.0,260.0,303.0,85.8,299.0,351.0,85.2,165.0,256.0,64.5,1.0,1.0,1.5,0.0,16.0,91.0,9.0,1.0,84.0,19.0,1618.0,85.0,47.3,18.0,18.0,88.0,16.0,1.0,30.0,2.0,1.32,26.0,26.0,0.0,0.0,-0.15,21.1,29.2,-8.1,-0.45,-0.28,1113.0,56.0,317.0,648.0,167.0,3.0,1113.0,12.0,9.0,75.0,3.0,25.0,559.0,2486.0,1011.0,11.0,12.0,1.0,19.0,5.0,640.0,7.0,2.0,30.0,14.0,46.7,1.36,0.64,0.07,0.14,27.8,6.0,0.0,0.0,0.9,0.9,0.03,1.1,1.1,,0
450,Shola Shoretire,ENG,MF,Manchester Utd,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,100.0,69.0,14.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,484.0,54.0,14.2,5.4,6.0,74.0,1.0,3.0,14.0,6.0,1.22,6.0,11.0,-5.0,-0.93,-1.97,7.2,5.7,1.5,0.28,-0.34,6.0,1.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
451,Francisco Sierralta,CHI,DF,Watford,1997.0,7.0,3.0,7.0,0.0,0.0,5.0,8.0,62.5,3.0,7.0,2.0,5.0,6.0,13.0,35.0,0.0,2.0,0.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,17.0,15.0,1.0,93.8,142.0,183.0,77.6,3070.0,927.0,16.0,26.0,61.5,111.0,121.0,91.7,13.0,30.0,43.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,0.0,,,,,0.0,248.0,60.0,187.0,59.0,2.0,2.0,248.0,2.0,2.0,100.0,0.0,0.0,118.0,587.0,299.0,1.0,0.0,0.0,1.0,0.0,137.0,0.0,0.0,1.0,1.0,100.0,0.21,0.21,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,,0
452,Bernardo Silva,POR,MF|FW,Manchester City,1994.0,57.0,29.0,19.0,19.0,19.0,31.0,67.0,46.3,36.0,24.0,2.0,22.0,20.0,77.0,19.0,0.0,137.0,4.32,110.0,2.0,10.0,9.0,6.0,0.0,17.0,0.54,13.0,1.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,30.0,33.0,9.0,58.0,20.0,29.0,1.0,0.0,0.0,156.0,7.0,15.0,31.8,1728.0,1977.0,87.4,24552.0,4453.0,1027.0,1113.0,92.3,543.0,614.0,88.4,73.0,109.0,67.0,4.0,6.5,4.0,-2.5,59.0,106.0,42.0,6.0,170.0,1.0,20.0,20.0,0.6,0.2,0.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,1.0,-1.0,-4.5,-4.87,0.5,0.7,-0.2,-0.96,-1.36,2283.0,36.0,290.0,1009.0,1002.0,179.0,2283.0,92.0,53.0,57.6,39.0,42.4,1552.0,9305.0,5010.0,146.0,102.0,34.0,54.0,25.0,1766.0,277.0,8.0,47.0,19.0,40.4,1.48,0.6,0.17,0.42,12.6,0.0,0.0,0.0,6.7,6.7,0.14,1.3,1.3,,0
453,Fábio Silva,POR,FW,Wolves,2002.0,3.0,2.0,0.0,2.0,1.0,0.0,8.0,0.0,8.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,16.0,2.51,9.0,0.0,4.0,3.0,0.0,0.0,2.0,0.31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,18.0,9.0,27.0,25.0,93.0,138.0,67.4,1117.0,264.0,64.0,84.0,76.2,18.0,27.0,66.7,2.0,4.0,50.0,0.0,0.2,0.7,-0.2,3.0,5.0,6.0,0.0,14.0,13.0,466.0,36.0,13.6,5.2,5.0,59.0,0.0,8.0,21.0,0.0,0.85,4.0,14.0,-10.0,-1.93,-2.08,4.6,10.4,-5.8,-1.11,-0.69,201.0,1.0,11.0,92.0,102.0,37.0,201.0,19.0,7.0,36.8,12.0,63.2,97.0,668.0,417.0,14.0,13.0,4.0,18.0,14.0,143.0,41.0,0.0,19.0,5.0,26.3,2.99,0.79,0.0,0.0,13.7,0.0,0.0,0.0,1.8,1.8,0.09,-1.8,-1.8,,0
454,Thiago Silva,BRA,DF,Chelsea,1984.0,32.0,21.0,19.0,12.0,1.0,11.0,22.0,50.0,11.0,54.0,31.0,23.0,44.0,76.0,100.0,0.0,33.0,1.12,26.0,0.0,1.0,4.0,1.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,12.0,12.0,1.0,2.0,44.0,21.0,1.0,0.0,0.0,214.0,56.0,31.0,64.4,2436.0,2634.0,92.5,45456.0,20402.0,911.0,953.0,95.6,1243.0,1292.0,96.2,237.0,319.0,74.3,0.0,0.2,0.9,-0.2,7.0,197.0,18.0,1.0,145.0,33.0,2661.0,81.0,77.8,29.6,31.0,86.0,27.0,2.0,3.0,0.0,1.33,27.0,34.0,-7.0,-0.24,-0.47,28.3,46.4,-18.1,-0.61,-0.45,2902.0,363.0,1255.0,1571.0,84.0,24.0,2902.0,7.0,6.0,85.7,1.0,14.3,1846.0,9914.0,6409.0,14.0,24.0,0.0,7.0,3.0,2168.0,2.0,3.0,18.0,5.0,27.8,0.61,0.17,0.17,0.6,12.2,0.0,0.0,0.0,0.9,0.9,0.05,2.1,2.1,,0
