Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
103,Scott Dann,ENG,DF,Crystal Palace,31,1987,7.4,1,0,0,4,0,0,0,5,2,0,0,0,29,26,16,61.9
104,Matteo Darmian,ITA,DF,Manchester Utd,28,1989,4.9,0,0,0,3,4,1,3,7,8,0,0,0,24,3,3,50.0
105,Ben Davies,WAL,DF,Tottenham,25,1993,20.5,2,0,0,18,14,0,43,23,30,0,0,0,92,44,36,55.0
106,Tom Davies,ENG,MF,Everton,20,1998,10.9,3,0,0,20,17,1,6,16,17,0,0,0,67,8,17,32.0
107,Steven Davis,NIR,MF,Southampton,33,1985,1.1,0,0,0,2,0,0,1,1,2,0,0,0,8,1,0,100.0
108,Kevin De Bruyne,BEL,MF,Manchester City,27,1991,10.8,2,0,0,10,15,1,91,3,15,0,0,0,61,6,11,35.3
109,Troy Deeney,ENG,FW,Watford,30,1988,28.3,4,1,0,42,36,13,16,7,14,0,0,0,91,202,225,47.3
110,Jermain Defoe,ENG,FW,Bournemouth,35,1982,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
111,Steven Defour,BEL,MF,Burnley,30,1988,5.0,0,0,0,1,2,0,4,8,4,0,0,0,31,0,5,0.0
112,Fabian Delph,ENG,DF,Manchester City,28,1989,8.1,1,1,0,6,7,0,8,13,14,0,0,0,54,9,14,39.1
113,Mousa Dembélé,BEL,MF,Tottenham,31,1987,5.7,1,0,0,12,3,0,0,7,9,0,0,0,44,6,7,46.2
114,Leander Dendoncker,BEL,MF,Wolves,23,1995,16.3,1,0,0,11,11,1,7,23,26,0,0,0,92,56,53,51.4
115,Laurent Depoitre,BEL,FW,Huddersfield,29,1988,11.9,1,0,0,19,9,7,4,2,4,0,0,0,30,80,89,47.3
116,Gerard Deulofeu,ESP,FW|MF,Watford,24,1994,23.0,3,0,0,14,13,34,62,14,6,0,0,0,71,3,18,14.3
117,Fousseni Diabaté,MLI,FW,Leicester City,22,1995,0.6,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,33.3
118,Adama Diakhaby,FRA,FW|MF,Huddersfield,22,1996,6.1,1,0,0,7,9,2,14,1,3,0,0,0,24,6,15,28.6
119,Mohamed Diamé,SEN,MF,Newcastle Utd,31,1987,24.1,3,0,0,36,20,0,12,30,46,0,0,0,144,34,46,42.5
120,Grady Diangana,,MF|FW,West Ham,20,1998,6.8,0,0,0,4,10,1,14,1,9,0,0,0,38,7,20,25.9
121,Eric Dier,ENG,MF|DF,Tottenham,24,1994,16.7,4,0,0,24,9,0,6,21,16,0,0,0,79,35,31,53.0
122,Lucas Digne,FRA,DF,Everton,25,1993,32.9,5,1,0,39,32,2,280,60,46,0,0,1,181,87,43,66.9
123,Issa Diop,FRA,DF,West Ham,21,1997,33.0,4,0,0,18,16,3,0,64,38,0,0,1,172,75,49,60.5
124,Matt Doherty,IRL,DF|MF,Wolves,26,1992,34.9,5,0,0,30,21,3,62,60,42,2,0,1,166,145,101,58.9
125,Abdoulaye Doucouré,MLI,MF,Watford,25,1993,34.0,7,0,0,36,13,2,11,34,38,0,0,1,257,40,36,52.6
126,Luke Dreher,ENG,FW,Crystal Palace,19,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
127,Martin Dúbravka,SVK,GK,Newcastle Utd,29,1989,38.0,1,0,0,0,5,0,0,0,0,0,0,0,38,15,2,88.2
128,Shane Duffy,IRL,DF,Brighton,26,1992,34.3,4,1,0,22,10,4,2,36,20,1,1,0,143,187,68,73.3
