Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
45,Harvey Barnes,ENG,MF|FW,Leicester City,21,1997,36,2083,58,60.9,23.1,24,74,4,12,26,2,1.61,38,24,+14,+0.60,-0.20,38.1,27.9,+10.2,+0.44,0.00
46,Chris Basham,ENG,DF,Sheffield Utd,31,1988,38,3242,85,94.8,36.0,38,85,25,0,,0,1.42,33,37,-4,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29
47,Borja Bastón,ESP,MF|FW,Aston Villa,26,1992,2,18,9,0.5,0.2,0,,0,2,9,3,0.00,0,2,-2,-10.00,-9.37,0.0,1.3,-1.3,-6.33,-5.74
48,Lewis Bate,ENG,MF,Chelsea,16,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
49,Michy Batshuayi,BEL,FW,Chelsea,25,1993,16,239,15,7.0,2.7,1,67,0,15,11,12,1.50,5,8,-3,-1.13,-1.64,5.8,3.4,+2.4,+0.89,+0.10
50,Jan Bednarek,POL,DF,Southampton,23,1996,34,3057,90,89.4,34.0,34,90,33,0,,2,1.26,43,57,-14,-0.41,-1.65,50.1,48.9,+1.2,+0.04,-0.48
51,Héctor Bellerín,ESP,DF|MF,Arsenal,24,1995,15,1158,77,33.9,12.9,13,88,10,2,9,5,1.47,20,18,+2,+0.16,-0.08,15.5,20.4,-4.9,-0.38,-0.25
52,Filip Benković,CRO,DF,Leicester City,22,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
53,Ryan Bennett,ENG,DF,Wolves,29,1990,11,606,55,17.7,6.7,7,74,5,4,22,5,1.45,6,9,-3,-0.45,-0.89,7.1,8.6,-1.6,-0.23,-0.80
54,Ryan Bennett,ENG,DF,Leicester City,29,1990,5,331,66,9.7,3.7,3,70,1,2,61,2,1.40,6,8,-2,-0.54,-1.36,7.3,5.6,+1.7,+0.47,+0.03
55,Josh Benson,ENG,MF,Burnley,19,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
56,Nabil Bentaleb,ALG,MF,Newcastle Utd,24,1994,12,751,63,22.0,8.3,8,84,6,4,20,2,0.83,7,16,-9,-1.08,-0.71,7.0,14.4,-7.4,-0.88,-0.12
57,Christian Benteke,BEL,FW,Crystal Palace,28,1990,24,1261,53,36.9,14.0,13,86,6,11,13,3,1.21,11,18,-7,-0.50,0.00,14.8,23.7,-8.9,-0.64,-0.13
58,Jóhann Berg Guðmundsson,ISL,MF,Burnley,28,1990,12,621,52,18.2,6.9,6,74,1,6,30,3,1.08,11,7,+4,+0.58,+0.93,11.0,7.4,+3.6,+0.52,+0.71
59,Sander Berge,NOR,MF,Sheffield Utd,21,1998,14,943,67,27.6,10.5,12,75,5,2,23,0,1.50,11,11,0,0.00,0.00,9.3,11.8,-2.5,-0.24,-0.05
60,Steven Bergwijn,NED,FW|MF,Tottenham,21,1997,14,704,50,20.6,7.8,8,73,2,6,20,0,1.79,11,9,+2,+0.26,-0.14,9.5,13.8,-4.3,-0.55,-0.49
61,Bernard,BRA,MF|FW,Everton,26,1992,27,1280,47,37.4,14.2,15,68,3,12,22,6,1.30,14,12,+2,+0.14,+0.73,18.3,13.8,+4.5,+0.32,+0.40
62,Bernardo,BRA,DF|MF,Brighton,24,1995,14,679,49,19.9,7.5,7,80,4,7,17,9,1.00,6,17,-11,-1.46,-1.33,8.3,11.5,-3.3,-0.43,-0.23
63,Ryan Bertrand,ENG,DF,Southampton,29,1989,32,2742,86,80.2,30.5,31,87,29,1,45,2,1.38,43,44,-1,-0.03,+1.03,45.5,38.6,+6.9,+0.23,+0.71
64,Muhamed Bešić,BIH,MF,Sheffield Utd,26,1992,9,250,28,7.3,2.8,2,76,0,7,14,14,1.56,1,2,-1,-0.36,-0.39,4.1,4.2,0.0,-0.02,+0.21
