Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
77,Jonathan Burkardt,GER,FW|MF,Mainz 05,19,2000,2.8,91,3,19,36,39,11,91,12,5,41.7,7,58.3,50,304,109,5,3,5,6,7,47,11
78,Roman Bürki,SUI,GK,Dortmund,28,1990,30.8,1103,911,1100,3,0,0,1103,2,0,0.0,2,100.0,567,2993,1571,0,0,0,1,0,543,0
79,Daniel Caligiuri,ITA,MF|FW,Schalke 04,31,1988,25.5,1394,48,201,616,601,56,1393,77,42,54.5,35,45.5,676,4020,1773,66,47,21,67,58,773,131
80,Emre Can,GER,MF|DF,Dortmund,25,1994,10.6,846,34,221,523,109,13,846,21,14,66.7,7,33.3,539,2750,1332,18,12,0,14,9,637,15
81,Koen Casteels,BEL,GK,Wolfsburg,27,1992,26.0,1029,807,1015,14,0,0,1029,1,1,100.0,0,0.0,596,3185,1789,0,0,0,1,0,513,0
82,Timothy Chandler,USA,DF|MF,Eint Frankfurt,29,1990,13.6,598,34,123,243,237,32,598,9,6,66.7,3,33.3,258,1369,610,25,18,2,14,4,344,91
83,Kwon Chang-hoon,KOR,MF|FW,Freiburg,25,1994,7.5,375,11,56,156,170,27,375,21,15,71.4,6,28.6,216,1356,450,14,16,8,22,6,263,62
84,Darko Churlinov,MKD,MF,Köln,19,2000,0.2,17,0,2,6,9,2,17,1,0,0.0,1,100.0,7,11,7,0,0,0,3,1,10,5
85,Per Ciljan Skjelbred,NOR,MF,Hertha BSC,32,1987,18.1,880,40,237,570,84,3,880,15,13,86.7,2,13.3,434,2723,1415,14,13,1,14,5,525,17
86,Christian Clemens,GER,FW,Köln,27,1991,0.2,6,0,2,0,4,0,6,0,0,,0,,4,18,2,0,0,0,0,0,3,1
