Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
109,Valentin Carboni,ARG,MF|DF,Inter,17,2005,0.3,0,0,0,0,3,0,1,0,1,0,0,0,6,0,4,0.0
110,Carlos,BRA,DF,Monza,23,1999,34.3,4,0,0,41,19,6,54,24,38,0,0,0,157,57,33,63.3
111,Marco Carnesecchi,ITA,GK,Cremonese,22,2000,27.0,1,0,0,0,5,0,0,0,1,0,0,0,29,5,2,71.4
112,Nicolò Casale,ITA,DF,Lazio,24,1998,27.1,6,0,0,22,7,0,0,17,20,0,0,0,142,45,27,62.5
113,Tommaso Cassandro,ITA,DF,Lecce,22,2000,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
114,Michele Castagnetti,ITA,MF,Cremonese,32,1989,15.7,2,0,0,16,12,0,38,15,21,0,0,0,99,9,14,39.1
115,Gaetano Castrovilli,ITA,MF,Fiorentina,25,1997,8.0,3,0,0,12,12,1,12,8,8,0,0,0,36,4,11,26.7
116,Danilo Cataldi,ITA,MF,Lazio,27,1994,21.3,5,0,0,12,20,0,44,24,16,0,0,0,159,1,5,16.7
117,Pietro Ceccaroni,ITA,DF,Lecce,26,1995,0.5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,
118,Federico Ceccherini,ITA,DF,Hellas Verona,30,1992,15.7,9,1,0,31,19,0,6,19,19,0,0,0,102,30,17,63.8
119,Assan Ceesay,GAM,FW,Lecce,28,1994,20.1,2,0,0,36,27,22,15,3,18,0,0,0,51,63,80,44.1
120,Emil Ceide,NOR,FW,Sassuolo,20,2001,5.7,0,0,0,4,7,1,6,1,2,1,0,0,18,1,3,25.0
121,Zeki Çelik,TUR,DF,Roma,25,1997,16.7,7,1,1,26,6,2,42,14,21,0,0,0,96,11,13,45.8
122,Michele Cerofolini,ITA,GK,Fiorentina,23,1999,5.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
123,Federico Chiesa,ITA,DF|MF,Juventus,24,1997,9.5,2,0,0,13,12,2,43,0,11,0,0,0,41,1,5,16.7
124,Vlad Chiricheș,ROU,DF,Cremonese,32,1989,10.9,2,0,0,16,8,0,0,22,20,0,0,1,67,18,22,45.0
125,Daniel Ciofani,ITA,FW,Cremonese,37,1985,11.8,1,0,0,9,15,6,2,2,3,0,0,0,28,35,67,34.3
126,Tio Cipot,SVN,FW|MF,Spezia,19,2003,1.5,0,0,0,1,2,0,7,0,7,0,0,0,8,1,2,33.3
127,Patrick Ciurria,ITA,DF|MF,Monza,27,1995,30.6,4,0,0,32,41,8,98,7,18,0,0,0,138,12,13,48.0
128,Nicolò Cocetta,ITA,DF,Udinese,18,2003,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
129,Omar Colley,GAM,DF,Sampdoria,29,1992,15.4,5,0,0,15,18,1,0,22,10,0,0,0,73,27,30,47.4
130,Lorenzo Colombo,ITA,FW,Lecce,20,2002,16.8,4,0,0,36,16,8,10,2,9,0,0,0,52,41,118,25.8
131,Andrea Colpani,ITA,MF,Monza,23,1999,10.5,1,0,0,22,26,0,33,3,9,1,0,0,55,6,10,37.5
132,Andrea Consigli,ITA,GK,Sassuolo,35,1987,35.0,0,0,0,0,4,0,0,0,0,0,0,0,32,9,1,90.0
133,Andrea Conti,ITA,DF,Sampdoria,28,1994,0.3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,
134,Diego Coppola,ITA,DF,Hellas Verona,18,2003,13.1,5,0,0,10,0,0,3,14,17,0,1,0,70,47,34,58.0
135,Alex Cordaz,ITA,GK,Inter,39,1983,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,Joaquín Correa,ARG,FW,Inter,27,1994,10.6,1,0,0,12,18,2,2,3,7,0,0,0,41,4,12,25.0
137,Alessandro Cortinovis,ITA,MF,Hellas Verona,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0
138,Lassana Coulibaly,MLI,MF,Salernitana,26,1996,32.1,12,0,0,53,50,1,10,25,50,0,0,0,222,29,38,43.3
139,Alessio Cragno,ITA,GK,Monza,28,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
140,Bryan Cristante,ITA,MF|DF,Roma,27,1995,32.6,8,1,0,52,19,2,11,18,62,0,0,0,209,75,41,64.7
141,Domen Črnigoj,SVN,MF,Salernitana,26,1995,3.3,1,0,0,6,2,0,0,9,3,0,0,0,21,5,7,41.7
142,Juan Cuadrado,COL,DF|FW,Juventus,34,1988,23.1,6,1,0,33,44,2,83,24,34,1,0,0,115,11,13,45.8
143,Mickaël Cuisance,FRA,MF,Sampdoria,22,1999,6.9,1,0,0,8,5,1,20,5,10,0,0,0,40,5,12,29.4
144,Marco D'Alessandro,ITA,DF|FW,Monza,31,1991,3.2,2,0,0,6,9,1,13,1,4,0,0,0,19,2,2,50.0
145,Danilo D'Ambrosio,ITA,DF,Inter,33,1988,8.1,3,1,0,16,11,0,9,10,17,1,0,0,39,8,9,47.1
146,Luca D'Andrea,ITA,FW,Sassuolo,17,2004,3.5,0,0,0,4,9,1,7,1,0,0,0,0,13,2,3,40.0
147,Flavius Daniliuc,AUT,DF,Salernitana,21,2001,24.4,9,0,0,33,4,0,0,29,29,0,0,0,132,39,28,58.2
148,Danilo,BRA,DF,Juventus,31,1991,35.4,5,0,0,33,17,0,18,47,62,0,2,0,196,53,38,58.2
149,Matteo Darmian,ITA,DF,Inter,32,1989,22.5,3,0,0,21,20,3,28,21,30,0,0,0,121,15,23,39.5
150,Paweł Dawidowicz,POL,DF,Hellas Verona,27,1995,18.1,6,1,0,37,13,1,13,23,31,0,0,0,120,43,27,61.4
151,Charles De Ketelaere,BEL,MF|FW,Milan,21,2001,12.4,2,0,0,19,15,2,10,4,12,0,0,0,56,19,30,38.8
152,Manuel De Luca,ITA,FW|MF,Sampdoria,24,1998,0.5,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,0.0
153,Tommaso De Nipoti,ITA,MF,Atalanta,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
154,Mattia De Sciglio,ITA,DF,Juventus,29,1992,11.6,0,0,0,4,11,0,26,4,7,0,0,0,40,10,11,47.6
155,Lorenzo De Silvestri,ITA,DF,Bologna,34,1988,7.5,1,0,0,6,6,2,7,3,2,0,0,1,39,14,12,53.8
