,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
445,Thiago Silva,BRA,DF,Chelsea,1984,29.4,32,21,19,12,1,11,22,11,54,31,23,44,76,100,0,33,1.12,26,0,1,4,1,1,1,0.03,0,0,0,0,1,0,2,0,0,12,12,1,2,44,21,1,0,0,214,56,31,2436,2634,92.5,45456,20402,911,953,1243,1292,237,319,0,0.2,0.9,-0.2,7,197,18,1,145,2902,363,1255,1571,84,24,2902,7,6,1,1846,9914,6409,14,24,0,7,3,2168,2,3,18,5,0.61,0.17,0.17,0.6,12.2,0,0,0,0.9,0.9,0.05,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Ellis Simms,ENG,FW,Everton,2001,0.7,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,12,58.3,66,19,5,9,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,18,2,3,10,5,0,18,0,0,0,3,9,3,0,0,0,1,1,13,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,Moussa Sissoko,FRA,MF,Watford,1989,35.8,53,27,27,20,6,28,42,14,42,13,29,30,83,64,0,75,2.1,62,0,4,3,1,5,3,0.08,1,0,1,0,0,1,5,0,0,35,11,2,26,30,27,0,0,0,241,64,52,922,1188,77.6,14966,4705,469,570,321,398,89,131,1,3.1,2.3,-2.1,37,95,24,11,116,1554,125,417,849,325,36,1554,76,52,24,746,3992,2076,51,35,3,49,53,822,71,2,25,8,0.7,0.22,0.08,0.25,16.8,0,0,0,3.8,3.7,0.15,-1.8,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,Oliver Skipp,ENG,MF,Tottenham,2000,15.0,33,19,14,18,1,15,31,16,19,7,12,12,45,10,1,24,1.6,22,0,1,1,0,0,3,0.2,3,0,0,0,0,0,6,0,0,16,16,1,6,12,19,0,0,0,77,12,10,763,851,89.7,11665,2984,383,408,302,323,36,59,0,0.7,1.1,-0.7,8,78,11,2,76,973,26,171,653,152,11,973,6,4,2,581,2877,1454,27,28,3,15,11,711,18,0,4,1,0.27,0.07,0.0,0.0,24.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,William Smallbone,IRL,MF|FW,Southampton,2000,1.5,4,4,2,2,0,1,3,2,4,0,4,2,6,0,0,2,1.35,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,4,0,0,0,12,1,3,20,39,51.3,284,86,9,14,10,16,1,4,0,0.0,0.0,0.0,1,0,0,0,2,54,2,11,22,22,3,54,0,0,0,23,145,84,4,3,0,3,0,27,7,0,1,0,0.68,0.0,0.0,0.0,17.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Emile Smith Rowe,ENG,MF|FW,Arsenal,2000,21.3,14,7,7,7,0,4,20,16,18,1,17,15,29,10,1,67,3.14,52,4,5,4,2,0,6,0.28,5,1,0,0,0,0,1,0,0,5,21,2,45,15,7,0,0,0,105,7,18,682,823,82.9,9733,1935,401,441,230,268,25,58,2,2.0,2.3,0.0,30,41,20,1,85,1025,19,142,418,479,62,1025,53,32,21,636,3990,2131,65,44,20,41,25,749,139,10,40,23,1.87,1.08,0.25,0.43,15.8,0,0,0,6.0,6.0,0.15,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,Cédric Soares,POR,DF,Arsenal,1991,16.5,38,26,23,9,6,16,25,9,18,7,11,16,54,31,1,37,2.24,27,9,0,1,0,0,3,0.18,2,1,0,0,0,0,3,0,0,15,6,3,100,16,26,0,1,0,79,12,27,873,1112,78.5,14331,4550,442,490,353,421,59,149,1,1.6,1.3,-0.6,18,86,22,16,84,1252,52,320,568,376,13,1252,12,8,4,677,2841,1224,17,22,1,15,11,769,56,1,12,1,0.73,0.06,0.08,1.0,22.1,2,0,0,0.6,0.6,0.05,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Tomáš Souček,CZE,MF,West Ham,1995,34.0,66,32,27,33,6,28,65,37,34,13,21,52,118,98,1,42,1.23,36,0,0,3,2,1,4,0.12,4,0,0,0,0,0,3,0,0,39,18,4,13,52,32,0,0,0,176,133,141,1036,1361,76.1,17344,4438,510,638,403,495,91,134,1,2.2,1.8,-1.2,21,105,12,2,141,1759,151,468,963,340,86,1759,16,10,6,802,3715,1522,36,24,3,40,16,1026,54,5,45,11,1.32,0.32,0.11,0.45,12.8,0,0,0,5.5,4.8,0.11,-0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,Boubakary Soumaré,FRA,MF,Leicester City,1999,12.2,19,13,10,8,1,8,17,9,13,1,12,14,33,18,0,18,1.47,14,0,2,0,1,1,2,0.16,2,0,0,0,0,0,0,0,0,16,17,0,4,14,13,0,0,0,62,27,11,444,542,81.9,6701,1678,241,280,156,184,31,46,1,0.4,0.3,0.6,6,38,5,1,45,664,28,174,396,101,7,664,24,14,10,359,1772,585,10,16,1,25,13,475,16,0,6,2,0.49,0.16,0.0,0.0,18.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,Çağlar Söyüncü,TUR,DF,Leicester City,1996,27.7,47,30,32,12,3,26,42,16,44,27,17,32,79,115,1,14,0.5,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,5,0,0,24,14,1,5,32,30,0,2,0,164,92,48,1630,1935,84.2,29197,10178,654,720,827,894,125,263,0,0.1,0.2,-0.1,3,70,3,2,71,2216,284,1186,982,65,16,2216,8,4,4,1393,6984,3401,19,15,0,9,3,1509,5,1,8,1,0.29,0.04,0.13,1.0,12.0,0,0,0,1.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,Tony Springett,IRL,MF|FW,Norwich City,2002,1.6,2,1,1,1,0,1,4,3,0,0,0,0,2,2,0,3,1.91,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,0,6,1,6,25,38,65.8,348,78,16,22,9,10,0,2,0,0.5,0.0,-0.5,2,1,1,1,2,52,2,15,22,18,5,52,2,1,1,39,324,203,8,2,3,2,3,39,11,0,1,1,0.64,0.64,0.0,0.0,12.9,0,0,0,0.2,0.2,0.17,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Jason Steele,ENG,GK,Brighton,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,34,38,89.5,744,408,9,9,21,21,4,8,0,0.0,0.0,0.0,0,0,0,0,0,41,37,41,1,0,0,41,0,0,0,19,98,28,0,0,0,0,0,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.6,0.33,-0.4,-0.37,2.0,6.0,33.3,32.0,2.0,9.4,23.9,6.0,50.0,40.0,16.0,0.0,0.0,0.0,0.0,9.3
457,Jed Steer,ENG,GK,Aston Villa,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,38,78.9,700,558,8,8,17,17,5,13,0,0.0,0.0,0.0,0,0,0,0,0,38,34,37,1,0,0,38,0,0,0,19,123,70,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.2,0.55,-0.8,-0.81,3.0,11.0,27.3,32.0,7.0,28.1,30.4,6.0,33.3,31.2,11.0,1.0,9.1,1.0,1.0,16.3
458,Zack Steffen,USA,GK,Manchester City,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,34,39,87.2,567,330,17,17,15,15,2,7,0,0.0,0.0,0.0,0,0,0,0,0,42,38,42,0,0,0,42,0,0,0,19,86,40,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.1,0.15,1.0,6.0,16.7,32.0,6.0,15.6,23.4,7.0,14.3,19.3,10.0,0.0,0.0,3.0,3.0,16.6
459,Dale Stephens,ENG,MF,Burnley,1989,1.4,4,1,0,3,1,3,8,5,4,1,3,1,5,1,0,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,0,0,0,7,0,2,46,57,80.7,812,228,20,27,17,20,7,7,0,0.0,0.1,0.0,1,4,2,0,5,71,3,10,54,7,0,71,0,0,0,25,102,26,0,1,0,2,0,35,1,0,1,0,0.73,0.0,0.0,0.0,22.8,0,0,0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Jack Stephens,ENG,DF,Southampton,1994,9.0,19,12,13,5,1,6,16,10,12,7,5,19,38,42,0,6,0.67,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,8,2,0,0,19,12,0,0,0,68,13,12,361,474,76.2,6659,2565,143,158,184,219,29,79,0,0.3,0.2,-0.3,4,24,1,0,28,566,77,288,260,21,3,566,2,2,0,307,1542,991,7,9,0,2,1,318,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Raheem Sterling,ENG,FW,Manchester City,1994,23.6,23,10,3,11,9,10,23,13,12,0,12,12,35,3,0,93,3.93,72,1,12,4,4,0,10,0.42,5,0,0,2,3,0,1,0,0,19,37,10,50,12,10,2,0,0,86,4,18,714,880,81.1,9140,1729,479,527,184,226,14,29,5,5.5,4.6,-0.5,42,15,48,9,65,1173,8,51,339,797,191,1170,112,53,59,886,5297,2574,108,54,65,62,54,991,317,13,54,25,2.28,1.06,0.2,0.44,14.0,0,2,3,14.0,11.5,0.21,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,Finley Stevens,WAL,DF,Brentford,2003,0.2,3,1,0,3,0,1,1,0,0,0,0,0,3,0,0,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,7,71.4,82,39,3,3,1,2,1,2,0,0.1,0.0,-0.1,1,0,1,0,2,9,1,1,5,3,1,9,0,0,0,5,17,4,0,0,0,0,0,5,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,John Stones,ENG,DF,Manchester City,1994,12.4,5,3,3,2,0,2,3,1,3,3,0,11,16,27,1,13,1.05,12,0,0,1,0,0,1,0.08,0,0,0,1,0,0,0,0,0,3,6,0,3,11,3,0,0,0,52,47,10,911,1001,91.0,16544,4754,391,420,426,455,83,102,0,0.2,0.3,-0.2,4,82,4,0,63,1072,82,356,631,91,10,1072,9,8,1,768,4519,2638,28,23,0,4,1,846,7,1,9,5,0.72,0.4,0.11,0.2,13.2,0,0,0,0.9,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,Pascal Struijk,NED,DF|MF,Leeds United,1999,22.8,61,39,34,23,4,30,50,20,35,23,12,33,94,60,2,21,0.92,18,0,0,2,0,1,1,0.04,0,0,0,1,0,0,6,1,0,25,8,1,0,33,39,0,0,0,161,40,39,1089,1278,85.2,20168,6807,372,423,616,665,85,148,0,0.4,0.2,-0.4,11,62,1,0,86,1533,172,801,653,85,21,1533,3,2,1,803,3748,2049,8,5,0,18,5,932,10,1,11,3,0.48,0.13,0.09,0.33,9.1,0,0,0,1.4,1.4,0.14,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Crysencio Summerville,NED,MF|FW,Leeds United,2001,1.4,5,3,1,1,3,2,3,1,2,0,2,2,7,0,0,3,2.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,3,0,0,0,11,0,6,51,70,72.9,638,142,32,37,14,21,1,3,0,0.0,0.1,0.0,2,2,4,0,7,93,1,16,26,51,9,93,7,4,3,56,309,159,5,0,0,4,2,62,16,0,2,0,1.38,0.0,0.0,0.0,12.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Jakob Sørensen,DEN,MF|DF,Norwich City,1998,6.7,22,11,6,14,2,10,20,10,7,3,4,10,32,19,0,5,0.75,3,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,7,1,0,2,10,11,0,1,0,48,11,9,251,309,81.2,4615,1347,98,111,117,132,29,50,0,0.0,0.1,0.0,0,21,2,1,20,381,33,154,195,37,8,381,4,3,1,219,1063,524,4,1,0,2,2,233,4,0,5,1,0.75,0.15,0.0,0.0,16.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Japhet Tanganga,ENG,DF,Tottenham,1999,8.2,14,8,7,6,1,9,19,10,13,5,8,9,23,31,0,3,0.37,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,4,1,1,19,8,1,11,9,8,0,0,0,24,15,9,333,407,81.8,4995,1531,175,191,124,158,19,36,0,0.2,0.4,-0.2,2,9,4,1,20,493,45,163,241,94,10,493,7,5,2,275,1388,782,13,11,2,7,5,315,21,0,7,2,0.86,0.24,0.0,0.0,13.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Matt Targett,ENG,DF,Aston Villa,1995,15.9,34,18,28,5,1,24,45,21,16,9,7,23,57,35,0,36,2.26,30,5,0,1,0,0,2,0.13,2,0,0,0,0,0,2,0,0,15,11,0,59,23,18,0,1,1,73,32,14,592,823,71.9,10224,4703,287,338,238,299,56,131,1,1.7,1.6,-0.7,21,68,20,8,83,984,60,293,437,259,15,984,6,1,5,466,1618,886,19,16,2,9,4,543,79,1,7,2,0.44,0.13,0.14,0.5,13.5,0,0,0,0.5,0.5,0.07,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Matt Targett,ENG,DF,Newcastle Utd,1995,16.0,41,26,26,14,1,24,37,13,15,4,11,25,66,39,1,44,2.75,21,15,2,1,5,0,2,0.12,1,1,0,0,0,0,1,0,0,9,12,1,76,25,26,0,0,0,72,19,12,566,789,71.7,9448,4669,275,310,230,302,46,131,0,1.9,1.5,-1.9,20,47,13,6,53,940,60,308,404,233,11,940,17,10,7,358,1217,562,11,8,2,13,5,420,40,0,6,3,0.37,0.19,0.0,0.0,16.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,James Tarkowski,ENG,DF,Burnley,1992,34.5,65,45,47,17,1,33,47,14,75,61,14,48,113,186,4,28,0.81,24,1,0,2,0,1,2,0.06,2,0,0,0,0,0,11,0,0,30,19,2,1,48,45,0,0,1,171,153,62,816,1190,68.6,18096,8529,259,356,369,479,172,314,2,0.5,0.9,1.5,10,75,12,0,97,1623,276,819,702,115,67,1623,7,5,2,596,2550,1226,3,6,0,13,5,702,11,1,22,6,0.64,0.17,0.05,0.17,11.3,0,0,0,2.5,2.5,0.12,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,Nuno Tavares,POR,DF,Arsenal,2000,13.1,21,14,10,7,4,8,18,10,15,5,10,9,30,33,1,27,2.07,19,0,4,1,2,1,3,0.23,2,0,0,1,0,0,2,0,0,23,13,1,40,9,14,0,1,0,68,23,22,581,727,79.9,8861,2473,324,357,220,260,25,59,1,1.1,1.0,-0.1,10,37,10,5,42,902,51,278,346,291,39,902,36,18,18,510,3094,1682,47,29,12,29,13,560,91,1,23,2,1.76,0.15,0.04,0.5,19.8,0,0,0,1.9,1.9,0.08,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Charlie Taylor,ENG,DF,Burnley,1993,30.3,45,26,31,11,3,26,44,18,42,20,22,58,103,95,2,52,1.71,39,4,2,0,7,0,8,0.26,5,1,1,0,1,0,3,0,0,17,43,0,104,58,26,0,0,0,183,58,30,968,1375,70.4,16556,7025,497,563,344,455,101,262,3,3.8,2.4,-0.8,21,72,25,19,91,1744,170,591,730,442,13,1744,53,27,26,759,5150,2143,58,36,7,31,15,816,77,0,7,0,0.23,0.0,0.0,0.0,22.4,0,0,0,0.2,0.2,0.02,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,Nathan Tella,NGA,MF|FW,Southampton,1999,8.9,13,9,5,7,1,6,17,11,13,0,13,6,19,9,0,23,2.57,13,0,2,2,6,0,4,0.45,3,0,0,0,1,0,2,0,0,17,22,3,12,6,9,0,0,0,54,6,18,103,177,58.2,1445,383,61,81,31,55,4,13,1,0.6,0.3,0.4,7,11,4,3,17,324,8,60,126,150,20,324,26,10,16,194,1473,671,22,22,4,40,24,183,44,0,12,5,1.34,0.56,0.0,0.0,21.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Alex Telles,BRA,DF,Manchester Utd,1992,18.4,48,27,35,9,4,27,43,16,17,4,13,26,74,45,0,51,2.77,27,18,1,2,2,1,5,0.27,0,4,0,0,1,0,1,0,0,23,9,1,127,26,27,0,2,0,99,30,24,898,1205,74.5,13213,5198,531,592,288,389,53,163,4,1.9,2.2,2.1,26,53,16,9,66,1396,66,407,562,438,18,1396,22,12,10,745,3421,1904,36,37,1,15,10,850,102,0,10,3,0.54,0.16,0.0,0.0,23.1,4,0,0,0.4,0.4,0.04,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
