Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
96,Dani Carvajal,ESP,DF,Real Madrid,27,1992,30.4,65,46,33,25,7,23,42,54.8,19,43,14,29,36,101,53,0
97,William Carvalho,POR,MF,Betis,27,1992,9.9,7,4,4,2,1,4,14,28.6,10,7,5,2,4,11,8,1
98,Casemiro,BRA,MF,Real Madrid,27,1992,34.3,96,60,43,45,8,39,99,39.4,60,53,10,43,68,164,72,0
99,Santi Cazorla,ESP,MF,Villarreal,34,1984,27.2,48,25,14,21,13,20,57,35.1,37,23,1,22,19,67,16,2
100,Sofian Chakla,MAR,DF,Villarreal,25,1993,2.0,0,0,0,0,0,0,1,0.0,1,2,1,1,3,3,7,1
101,Charles,BRA,FW,Eibar,35,1984,14.5,10,5,0,6,4,4,22,18.2,18,7,2,5,7,17,6,0
102,Pablo Chavarría,ARG,FW|MF,Mallorca,31,1988,2.3,1,1,0,1,0,0,4,0.0,4,1,1,0,1,2,2,0
103,Pape Cheikh Diop,SEN,MF,Celta Vigo,21,1997,6.7,10,4,6,3,1,2,12,16.7,10,4,2,2,5,15,3,0
104,Chema,ESP,DF,Getafe,27,1992,3.4,4,3,1,3,0,1,2,50.0,1,1,0,1,5,9,12,0
105,Denis Cheryshev,RUS,MF|FW,Valencia,28,1990,10.3,16,9,5,4,7,3,17,17.6,14,15,1,14,7,23,10,0
106,Samuel Chukwueze,NGA,FW|MF,Villarreal,20,1999,22.8,23,14,12,6,5,13,30,43.3,17,15,1,14,10,33,14,1
107,Churripi,ESP,GK,Valladolid,25,1994,2.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
108,Jasper Cillessen,NED,GK,Valencia,30,1989,23.3,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,3,1
109,Óscar Clemente,ESP,MF,Atlético Madrid,20,1999,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
110,Carlos Clerc,ESP,DF,Levante,27,1992,20.5,28,16,14,13,1,12,20,60.0,8,22,9,13,22,50,61,0
111,Coke,ESP,DF,Levante,32,1987,11.0,25,18,14,8,3,14,30,46.7,16,9,2,7,13,38,19,0
112,Álex Collado,ESP,FW,Barcelona,20,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
113,Francis Coquelin,FRA,MF,Valencia,28,1991,21.2,37,21,25,11,1,16,38,42.1,22,19,9,10,38,75,25,0
114,Sébastien Corchia,FRA,DF,Espanyol,28,1990,3.0,2,1,2,0,0,2,4,50.0,2,5,2,3,5,7,8,0
115,Iñigo Córdoba,ESP,FW,Athletic Club,22,1997,16.0,33,20,16,12,5,14,52,26.9,38,30,2,28,16,49,13,0
116,Ángel Correa,ARG,MF|FW,Atlético Madrid,24,1995,22.9,25,9,7,9,9,9,36,25.0,27,23,5,18,14,39,21,0
