Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
535,Wilfried Singo,CIV,DF,Torino,19,2000,20.6,723,963,75.1,10923,3562,406,452,89.8,254,349,72.8,44,104,42.3,2,2.8,1.9,-0.8,24,35,20,11,62
536,Salvatore Sirigu,ITA,GK,Torino,33,1987,32.0,711,1006,70.7,19538,14210,174,175,99.4,273,283,96.5,256,537,47.7,0,0.0,0.0,0.0,0,17,0,0,0
537,Łukasz Skorupski,POL,GK,Bologna,29,1991,28.0,747,959,77.9,16949,11831,198,200,99.0,329,337,97.6,172,367,46.9,0,0.0,0.0,0.0,0,3,0,0,0
538,Andreas Skov Olsen,DEN,FW|DF,Bologna,20,1999,13.1,407,546,74.5,5984,1534,231,263,87.8,127,172,73.8,25,61,41.0,3,2.0,1.9,+1.0,20,12,10,5,29
539,Milan Škriniar,SVK,DF,Inter,25,1995,30.9,2009,2182,92.1,35415,10388,844,881,95.8,983,1039,94.6,158,214,73.8,0,0.5,0.7,-0.5,9,133,10,0,143
540,Chris Smalling,ENG,DF,Roma,30,1989,12.3,620,684,90.6,12325,4078,163,175,93.1,377,393,95.9,68,96,70.8,1,0.7,0.6,+0.3,2,16,0,0,20
541,Simon Sohm,SUI,MF,Parma,19,2001,10.0,354,424,83.5,5966,1323,150,173,86.7,165,185,89.2,26,42,61.9,0,0.2,0.3,-0.2,4,31,2,0,33
542,Roberto Soriano,ITA,MF,Bologna,29,1991,36.1,1222,1507,81.1,17944,6045,693,805,86.1,396,459,86.3,71,103,68.9,6,7.8,3.8,-1.8,52,155,46,3,199
543,Riccardo Sottil,ITA,FW|MF,Cagliari,21,1999,13.2,281,382,73.6,4702,973,139,173,80.3,108,140,77.1,24,40,60.0,1,1.8,1.4,-0.8,16,19,18,4,47
544,Adama Soumaoro,FRA,DF,Bologna,28,1992,19.5,822,925,88.9,14538,4983,337,375,89.9,415,448,92.6,61,77,79.2,0,0.1,0.1,-0.1,3,21,0,0,51
