Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
281,Viktor Kovalenko,UKR,FW,Atalanta,24,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
282,Rade Krunić,BIH,MF|FW,Milan,26,1993,8.0,3,0,0,11,20,2,3,10,12,0,1,0,36,9,17,34.6
283,Juraj Kucka,SVK,MF|FW,Parma,33,1987,25.9,8,0,0,65,71,3,15,28,36,0,0,0,133,79,59,57.2
284,Dejan Kulusevski,SWE,MF|FW,Juventus,20,2000,21.4,7,0,0,41,29,5,59,9,19,0,0,0,97,11,29,27.5
285,Marash Kumbulla,ALB,DF,Roma,20,2000,15.1,8,0,0,26,14,0,1,24,11,0,0,0,52,26,19,57.8
286,Jasmin Kurtić,SVN,MF,Parma,31,1989,30.4,5,0,0,45,37,3,90,33,28,0,0,0,156,36,28,56.3
287,Giorgos Kyriakopoulos,GRE,DF,Sassuolo,24,1996,16.2,3,1,1,17,7,1,64,15,18,0,0,0,83,17,16,51.5
288,Antonino La Gumina,ITA,FW,Sampdoria,24,1996,3.8,0,0,0,5,6,2,4,3,2,0,0,0,9,11,22,33.3
289,Sam Lammers,NED,FW|MF,Atalanta,23,1997,3.2,0,0,0,5,5,2,0,0,0,0,0,0,8,6,6,50.0
290,Gianluca Lapadula,PER,FW,Benevento,30,1990,28.5,2,0,0,48,68,34,14,5,12,3,0,0,55,34,88,27.9
291,Danilo Larangeira,BRA,DF,Bologna,36,1984,34.8,8,0,0,38,15,1,2,51,24,0,2,0,168,79,74,51.6
292,Kevin Lasagna,ITA,FW,Udinese,27,1992,12.3,1,0,0,20,11,9,17,6,1,0,0,0,32,18,37,32.7
293,Kevin Lasagna,ITA,FW,Hellas Verona,27,1992,14.1,0,0,0,32,21,23,4,1,3,0,0,0,30,26,48,35.1
294,Vincent Laurini,FRA,DF,Parma,31,1989,9.7,1,0,0,12,18,0,28,17,11,0,0,0,31,6,12,33.3
295,Darko Lazović,SRB,DF|MF,Hellas Verona,29,1990,27.8,3,0,0,10,2,10,125,20,17,0,0,0,157,17,18,48.6
296,Manuel Lazzari,ITA,DF,Lazio,26,1993,29.0,2,1,0,26,53,2,114,18,14,0,0,1,111,13,18,41.9
297,Rafael Leão,POR,FW,Milan,21,1999,21.4,5,0,0,28,21,4,32,4,6,1,0,0,62,42,59,41.6
298,Lucas Leiva,BRA,MF,Lazio,33,1987,23.7,10,0,0,47,24,1,16,57,32,0,0,0,175,47,42,52.8
299,Lukas Lerager,DEN,MF,Genoa,27,1993,12.9,0,0,0,16,16,3,7,14,13,0,0,0,85,9,14,39.1
