Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
52,Raoul Bellanova,ITA,DF|FW,Cagliari,21,2000,27.7,29,15,14,12,3,6,27,22.2,21,39,8,31,21,50,51,0
53,Andrea Belotti,ITA,FW,Torino,27,1993,15.2,7,3,2,2,3,3,12,25.0,9,12,4,8,2,9,9,0
54,Marco Benassi,ITA,DF|MF,Fiorentina,26,1994,1.8,1,0,1,0,0,1,2,50.0,1,3,0,3,3,4,3,0
55,Marco Benassi,ITA,MF,Empoli,26,1994,4.2,6,3,3,2,1,1,10,10.0,9,4,0,4,3,9,6,0
56,Filip Benković,CRO,DF|FW,Udinese,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
57,Ismaël Bennacer,ALG,MF,Milan,23,1997,16.9,44,30,22,15,7,21,50,42.0,29,20,4,16,25,69,15,0
58,Rodrigo Bentancur,URU,MF,Juventus,24,1997,12.8,32,18,11,18,3,7,20,35.0,13,15,2,13,26,58,15,1
59,Alessandro Berardi,ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
60,Domenico Berardi,ITA,FW,Sassuolo,26,1994,31.3,32,19,9,16,7,15,57,26.3,42,39,2,37,31,63,23,0
61,Bartosz Bereszyński,POL,DF,Sampdoria,29,1992,32.7,64,38,34,25,5,37,80,46.3,43,38,12,26,42,106,73,1
62,Etrit Berisha,ALB,GK,Torino,32,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
63,Federico Bernardeschi,ITA,MF|FW,Juventus,27,1994,16.4,16,10,7,4,5,6,13,46.2,7,12,4,8,5,21,15,0
64,Nicolò Bertola,ITA,MF|DF,Spezia,18,2003,0.4,3,2,3,0,0,3,4,75.0,1,0,0,0,3,6,1,0
65,Daniel Bessa,ITA,MF,Hellas Verona,28,1993,8.5,7,2,3,3,1,4,15,26.7,11,13,3,10,5,12,11,0
66,Beto,GNB,FW,Udinese,23,1998,24.1,21,6,2,14,5,9,19,47.4,10,16,1,15,5,26,25,1
67,Luis Binks,ENG,DF,Bologna,19,2001,7.2,8,4,7,1,0,4,6,66.7,2,6,5,1,17,25,33,1
68,Cristiano Biraghi,ITA,DF,Fiorentina,28,1992,35.0,37,24,17,15,5,22,53,41.5,31,28,10,18,19,56,31,1
69,Davide Biraschi,ITA,DF,Genoa,27,1994,10.3,31,16,19,9,3,17,24,70.8,7,16,9,7,16,47,26,0
70,Bjarki Bjarkason,ISL,MF,Venezia,21,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
71,Jeremie Boga,CIV,FW|MF,Atalanta,24,1997,8.5,7,3,0,4,3,4,6,66.7,2,6,0,6,1,8,3,1
72,Jeremie Boga,CIV,FW|MF,Sassuolo,24,1997,7.4,7,4,1,2,4,2,3,66.7,1,3,0,3,2,9,1,1
73,Luka Bogdan,CRO,DF,Salernitana,25,1996,4.4,6,3,6,0,0,4,8,50.0,4,3,2,1,6,12,21,0
74,Emil Bohinen,NOR,MF,Salernitana,22,1999,7.8,15,9,4,9,2,10,20,50.0,10,17,3,14,12,27,14,0
75,Giacomo Bonaventura,ITA,MF,Fiorentina,31,1989,25.2,33,17,12,16,5,21,46,45.7,25,20,2,18,14,47,9,1
76,Federico Bonazzoli,ITA,FW|MF,Salernitana,24,1997,20.7,24,12,9,8,7,6,25,24.0,19,17,1,16,6,30,7,0
77,Kevin Bonifazi,ITA,DF,Bologna,25,1996,13.4,25,16,16,7,2,13,14,92.9,1,22,7,15,16,41,35,0
78,Leonardo Bonucci,ITA,DF,Juventus,34,1987,22.3,14,5,4,10,0,8,13,61.5,5,22,17,5,26,40,82,0
79,Mehdi Bourabia,MAR,MF,Spezia,29,1991,3.1,5,1,2,3,0,3,11,27.3,8,7,6,1,3,8,10,0
80,Edoardo Bove,ITA,MF|DF,Roma,19,2002,0.8,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0
81,Josip Brekalo,CRO,MF,Torino,23,1998,25.4,9,5,5,1,3,3,21,14.3,18,16,1,15,4,13,7,1
82,Gleison Bremer,BRA,DF,Torino,24,1997,32.1,49,24,27,22,0,18,28,64.3,10,54,23,31,105,154,137,0
83,Marcelo Brozović,CRO,MF,Inter,28,1992,32.6,77,45,34,35,8,34,68,50.0,34,28,10,18,37,114,36,2
84,Aleksander Buksa,POL,FW,Genoa,18,2003,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
85,Alessandro Buongiorno,ITA,DF,Torino,22,1999,13.1,20,9,9,8,3,9,13,69.2,4,12,6,6,31,51,44,0
86,Gianluca Busio,USA,MF,Venezia,19,2002,21.7,53,28,27,20,6,28,63,44.4,35,45,13,32,21,74,30,1
87,Jovane Cabral,CPV,FW,Lazio,23,1998,2.1,2,1,1,0,1,0,0,,0,1,1,0,1,3,1,0
88,Liberato Cacace,NZL,DF,Empoli,20,2000,5.2,15,6,8,4,3,8,8,100.0,0,7,2,5,8,23,9,0
89,Martín Cáceres,URU,DF,Cagliari,34,1987,9.2,13,7,5,5,3,4,12,33.3,8,12,3,9,14,27,21,0
90,Felipe Caicedo,ECU,FW,Genoa,32,1988,3.2,3,3,0,2,1,0,1,0.0,1,1,0,1,0,3,4,0
91,Felipe Caicedo,ECU,FW|DF,Inter,32,1988,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
92,Davide Calabria,ITA,DF,Milan,24,1996,23.5,62,37,31,23,8,37,72,51.4,35,25,5,20,23,85,40,1
93,Riccardo Calafiori,ITA,DF,Genoa,19,2002,0.9,1,0,0,0,1,1,2,50.0,1,2,1,1,2,3,4,0
94,Riccardo Calafiori,ITA,DF,Roma,19,2002,1.9,5,4,2,2,1,1,5,20.0,4,3,0,3,3,8,1,0
95,Mattia Caldara,ITA,DF,Venezia,27,1994,30.0,48,28,30,15,3,20,34,58.8,14,49,37,12,62,110,147,1
96,Hakan Çalhanoğlu,TUR,MF,Inter,27,1994,27.6,41,23,16,19,6,11,40,27.5,29,29,5,24,25,66,12,0
97,José Callejón,ESP,FW,Fiorentina,34,1987,14.4,15,6,6,6,3,13,31,41.9,18,6,0,6,3,18,1,1
98,Andrea Cambiaso,ITA,DF,Genoa,21,2000,19.9,46,20,28,14,4,18,32,56.3,14,33,8,25,23,69,37,1
99,Matteo Cancellieri,ITA,MF|DF,Hellas Verona,19,2002,2.5,4,4,2,2,0,0,5,0.0,5,2,0,2,1,5,0,0
100,Antonio Candreva,ITA,MF|FW,Sampdoria,34,1987,34.7,27,16,9,11,7,19,55,34.5,36,23,2,21,33,60,19,0
101,Leonardo Capezzi,ITA,MF,Salernitana,26,1995,1.9,3,1,0,3,0,1,4,25.0,3,8,4,4,0,3,2,0
102,Gianluca Caprari,ITA,MF|FW,Hellas Verona,28,1993,30.4,43,25,10,22,11,17,51,33.3,34,32,0,32,4,47,7,0
103,Francesco Caputo,ITA,FW,Sampdoria,33,1987,31.0,5,2,1,3,1,1,6,16.7,5,5,0,5,2,7,10,0
104,Francesco Caputo,ITA,FW,Sassuolo,33,1987,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
105,Andrea Carboni,ITA,DF,Cagliari,20,2001,24.6,53,24,33,16,4,19,42,45.2,23,42,15,27,27,80,87,0
