Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
474,Alessio Romagnoli,ITA,DF,Milan,24,1995,34.3,1,15,3,20.0,0.44,0.09,0.07,0.33,10.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6
475,Cristian Romero,ARG,DF,Genoa,21,1998,28.6,1,15,3,20.0,0.52,0.10,0.07,0.33,12.7,0,0,0,2.0,2.0,0.13,-1.0,-1.0
476,Rômulo,ITA,MF,Brescia,32,1987,19.1,1,18,7,38.9,0.94,0.37,0.06,0.14,16.5,0,0,0,2.4,2.4,0.13,-1.4,-1.4
477,Rômulo,ITA,DF,Genoa,32,1987,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
478,Cristiano Ronaldo,POR,FW,Juventus,34,1985,32.4,31,195,67,34.4,6.02,2.07,0.10,0.28,19.5,19,12,13,28.6,18.4,0.09,+2.4,+0.6
479,Marten de Roon,NED,MF|DF,Atalanta,28,1991,30.2,2,31,5,16.1,1.03,0.17,0.06,0.40,23.1,0,0,0,1.2,1.2,0.04,+0.8,+0.8
480,Antonio Rosati,ITA,GK,Torino,36,1983,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
481,Luca Rossettini,ITA,DF,Lecce,34,1985,25.1,0,4,0,0.0,0.16,0.00,0.00,,25.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2
482,Francesco Rossi,ITA,GK,Atalanta,28,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
483,Nicolò Rovella,ITA,MF,Genoa,17,2001,1.2,0,1,0,0.0,0.86,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0
484,Amir Rrahmani,KVX,DF,Hellas Verona,25,1994,35.9,0,43,13,30.2,1.20,0.36,0.00,0.00,13.7,0,0,0,3.5,3.5,0.08,-3.5,-3.5
485,Dion Ruffo Luci,ITA,MF,Bologna,18,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
486,Daniele Rugani,ITA,DF,Juventus,25,1994,7.7,0,6,2,33.3,0.78,0.26,0.00,0.00,16.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
487,Mário Rui,POR,DF,Napoli,28,1991,21.8,0,31,9,29.0,1.42,0.41,0.00,0.00,26.8,2,0,0,1.1,1.1,0.03,-1.1,-1.1
488,Fabián Ruiz Peña,ESP,MF,Napoli,23,1996,29.8,3,71,18,25.4,2.38,0.60,0.04,0.17,23.9,0,0,0,3.2,3.2,0.05,-0.2,-0.2
