Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
554,Valerio Verre,ITA,MF,Sampdoria,28,1994,7.5,0,14,3,21.4,1.86,0.40,0.00,0.00,25.3,0,0,0,0.6,0.6,0.04,-0.6,-0.6
555,Guglielmo Vicario,ITA,GK,Empoli,25,1996,30.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
556,Ronaldo Vieira,ENG,MF,Torino,24,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
557,Ronaldo Vieira,ENG,MF,Sampdoria,24,1998,9.1,0,5,1,20.0,0.55,0.11,0.00,0.00,23.8,0,0,0,0.4,0.4,0.08,-0.4,-0.4
558,Emanuel Vignato,ITA,MF|FW,Bologna,21,2000,2.7,0,1,1,100.0,0.37,0.37,0.00,0.00,14.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
559,Emanuel Vignato,ITA,MF|FW,Empoli,21,2000,0.6,1,2,1,50.0,3.16,1.58,0.50,1.00,19.7,0,0,0,0.2,0.2,0.10,+0.8,+0.8
560,Samuele Vignato,ITA,MF|FW,Monza,18,2004,0.7,0,1,0,0.0,1.45,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
561,Tonny Vilhena,NED,MF,Salernitana,27,1995,25.2,4,31,9,29.0,1.23,0.36,0.13,0.44,26.0,1,0,0,2.4,2.4,0.08,+1.6,+1.6
562,Gonzalo Villar,ESP,MF,Sampdoria,24,1998,7.7,0,1,0,0.0,0.13,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.03,0.0,0.0
563,Matías Viña,URU,DF,Roma,24,1997,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
564,Dušan Vlahović,SRB,FW,Juventus,22,2000,21.4,10,65,20,30.8,3.04,0.94,0.12,0.40,15.5,4,2,3,9.7,7.3,0.11,+0.3,+0.7
565,Nikola Vlašić,CRO,MF|FW,Torino,24,1997,30.3,5,53,21,39.6,1.75,0.69,0.09,0.24,18.0,1,0,0,4.3,4.3,0.08,+0.7,+0.7
566,Joel Voelkerling Persson,SWE,FW|MF,Lecce,19,2003,1.1,0,1,0,0.0,0.91,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.04,0.0,0.0
567,Mërgim Vojvoda,KVX,DF,Torino,27,1995,19.1,0,23,6,26.1,1.20,0.31,0.00,0.00,17.3,0,0,0,1.5,1.5,0.07,-1.5,-1.5
568,Cristian Volpato,ITA,MF,Roma,18,2003,2.5,1,4,1,25.0,1.59,0.40,0.25,1.00,15.7,0,0,0,0.4,0.4,0.09,+0.6,+0.6
569,Lukáš Vorlický,CZE,MF|FW,Atalanta,20,2002,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,24.1,0,0,0,0.0,0.0,0.05,0.0,0.0
570,Aster Vranckx,BEL,MF,Milan,19,2002,2.7,0,2,0,0.0,0.75,0.00,0.00,,29.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
571,Stefan de Vrij,NED,DF,Inter,30,1992,21.6,1,20,6,30.0,0.93,0.28,0.05,0.17,9.0,0,0,0,2.2,2.2,0.11,-1.2,-1.2
572,Walace,BRA,MF,Udinese,27,1995,35.4,0,32,6,18.8,0.90,0.17,0.00,0.00,26.4,0,0,0,1.1,1.1,0.04,-1.1,-1.1
573,Sebastian Walukiewicz,POL,DF,Empoli,22,2000,6.7,0,2,1,50.0,0.30,0.15,0.00,0.00,7.2,0,0,0,0.3,0.3,0.17,-0.3,-0.3
574,Georginio Wijnaldum,NED,MF,Roma,31,1990,8.5,2,20,4,20.0,2.34,0.47,0.10,0.50,15.2,0,0,0,2.2,2.2,0.11,-0.2,-0.2
575,Harry Winks,ENG,MF,Sampdoria,26,1996,19.1,0,14,0,0.0,0.73,0.00,0.00,,24.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6
576,Przemysław Wiśniewski,POL,DF,Spezia,24,1998,11.1,1,6,3,50.0,0.54,0.27,0.17,0.33,9.8,0,0,0,1.2,1.2,0.21,-0.2,-0.2
577,Gerard Yepes,ESP,MF,Sampdoria,19,2002,2.2,0,1,0,0.0,0.45,0.00,0.00,,18.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
578,Mattia Zaccagni,ITA,FW,Lazio,27,1995,30.8,10,56,23,41.1,1.82,0.75,0.16,0.39,16.7,1,1,1,6.7,5.9,0.11,+3.3,+3.1
579,Denis Zakaria,SUI,MF,Juventus,25,1996,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
580,Nicola Zalewski,POL,DF,Roma,20,2002,24.4,2,29,9,31.0,1.19,0.37,0.07,0.22,23.1,1,0,0,1.3,1.3,0.05,+0.7,+0.7
581,Andre-Frank Zambo Anguissa,CMR,MF,Napoli,26,1995,33.9,3,50,15,30.0,1.48,0.44,0.06,0.20,18.1,1,0,0,4.4,4.4,0.09,-1.4,-1.4
582,Luca Zanimacchia,ITA,MF|FW,Cremonese,24,1998,8.3,0,19,4,21.1,2.29,0.48,0.00,0.00,19.9,2,0,0,1.2,1.2,0.06,-1.2,-1.2
583,Nicolò Zaniolo,ITA,MF|FW,Roma,23,1999,9.9,1,28,7,25.0,2.83,0.71,0.04,0.14,17.2,0,0,0,2.9,2.9,0.10,-1.9,-1.9
584,Alessandro Zanoli,ITA,DF,Sampdoria,21,2000,17.1,2,15,7,46.7,0.88,0.41,0.13,0.29,13.8,0,0,0,2.6,2.6,0.17,-0.6,-0.6
585,Alessandro Zanoli,ITA,DF,Napoli,21,2000,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,13.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
586,Mattia Zanotti,ITA,DF,Inter,19,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
587,Duván Zapata,COL,FW,Atalanta,31,1991,15.4,2,41,8,19.5,2.65,0.52,0.05,0.25,15.6,0,0,0,3.9,3.9,0.10,-1.9,-1.9
588,Davide Zappacosta,ITA,DF,Atalanta,30,1992,16.3,4,25,10,40.0,1.53,0.61,0.16,0.40,16.6,0,0,0,1.5,1.5,0.06,+2.5,+2.5
589,Karim Zedadka,FRA,FW,Napoli,22,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
590,Deyovaisio Zeefuik,NED,DF,Hellas Verona,24,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
591,Marvin Zeegelaar,NED,DF,Udinese,31,1990,3.9,1,3,1,33.3,0.76,0.25,0.33,1.00,11.7,0,0,0,0.2,0.2,0.07,+0.8,+0.8
592,Alessio Zerbin,ITA,FW,Napoli,23,1999,2.2,0,5,3,60.0,2.27,1.36,0.00,0.00,19.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
593,Piotr Zieliński,POL,MF,Napoli,28,1994,25.4,3,53,19,35.8,2.09,0.75,0.06,0.16,22.4,6,0,0,3.5,3.5,0.07,-0.5,-0.5
594,David Zima,CZE,DF,Torino,21,2000,4.5,0,4,2,50.0,0.89,0.44,0.00,0.00,12.0,0,0,0,0.8,0.8,0.20,-0.8,-0.8
595,Joshua Zirkzee,NED,FW,Bologna,21,2001,9.1,2,29,8,27.6,3.18,0.88,0.07,0.25,16.3,0,0,0,3.1,3.1,0.11,-1.1,-1.1
596,Jeroen Zoet,NED,GK,Spezia,31,1991,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
597,Nadir Zortea,ITA,DF|MF,Atalanta,23,1999,2.5,1,4,3,75.0,1.62,1.22,0.25,0.33,20.4,0,0,0,0.1,0.1,0.03,+0.9,+0.9
598,Nadir Zortea,ITA,DF,Sassuolo,23,1999,7.3,0,5,2,40.0,0.68,0.27,0.00,0.00,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
599,Petar Zovko,BIH,GK,Spezia,20,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
600,Szymon Żurkowski,POL,MF,Fiorentina,24,1997,0.4,0,2,1,50.0,5.63,2.81,0.00,0.00,15.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
601,Szymon Żurkowski,POL,MF,Spezia,24,1997,4.7,0,7,1,14.3,1.48,0.21,0.00,0.00,23.5,0,0,0,0.6,0.6,0.08,-0.6,-0.6
602,Milan Đurić,BIH,FW,Hellas Verona,32,1990,15.2,1,16,5,31.3,1.05,0.33,0.06,0.20,10.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4
603,Filip Đuričić,SRB,MF|FW,Sampdoria,30,1992,24.1,3,26,12,46.2,1.08,0.50,0.12,0.25,18.3,1,0,0,2.7,2.7,0.10,+0.3,+0.3
