Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
333,Rolando Mandragora,ITA,MF,Fiorentina,25,1997,21.7,42,24,12,22,8,23,52,44.2,29,25,3,22,16,58,21,0
334,Federico Marchetti,ITA,GK,Spezia,39,1983,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
335,Riccardo Marchizza,ITA,DF,Sassuolo,24,1998,3.1,2,2,1,1,0,2,4,50.0,2,2,0,2,2,4,8,0
336,Gian Marco Ferrari,ITA,DF,Sassuolo,30,1992,24.7,23,16,11,10,2,10,17,58.8,7,29,20,9,23,46,81,4
337,Pablo Marí,ESP,DF,Monza,28,1993,27.6,37,19,29,7,1,17,26,65.4,9,22,14,8,31,68,111,3
338,Răzvan Marin,ROU,MF,Empoli,26,1996,28.2,44,22,22,21,1,19,40,47.5,21,29,11,18,14,58,33,0
339,Marlon,BRA,DF,Monza,26,1995,17.7,35,21,20,14,1,15,29,51.7,14,13,4,9,18,53,50,0
340,Luca Marrone,ITA,DF,Monza,32,1990,1.5,0,0,0,0,0,0,2,0.0,2,2,2,0,0,0,4,1
341,Lautaro Martínez,ARG,FW,Inter,24,1997,28.6,25,14,3,15,7,7,23,30.4,16,31,1,30,13,38,16,1
342,Lucas Martínez Quarta,ARG,DF,Fiorentina,26,1996,24.1,80,48,44,32,4,42,61,68.9,19,41,19,22,48,128,78,1
343,Adam Marušić,MNE,DF,Lazio,29,1992,30.7,41,30,23,14,4,25,39,64.1,14,20,6,14,38,79,63,1
344,Adam Masina,MAR,DF,Udinese,28,1994,8.8,10,7,7,3,0,6,15,40.0,9,11,4,7,10,20,28,1
345,Nemanja Matić,SRB,MF,Roma,33,1988,20.6,47,27,24,19,4,19,33,57.6,14,27,7,20,25,72,21,1
346,Luís Maximiano,POR,GK,Lazio,23,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
347,Pasquale Mazzocchi,ITA,DF,Salernitana,27,1995,21.8,32,18,21,5,6,17,37,45.9,20,10,2,8,10,42,37,2
348,Weston McKennie,USA,MF|DF,Juventus,23,1998,11.7,14,5,3,9,2,5,8,62.5,3,15,4,11,11,25,15,1
349,Gary Medel,CHI,MF|DF,Bologna,34,1987,16.4,25,15,16,7,2,9,16,56.3,7,17,10,7,28,53,34,0
350,Soualiho Meïté,FRA,MF,Cremonese,28,1994,26.3,47,31,25,15,7,22,46,47.8,24,27,6,21,27,74,36,0
351,Alex Meret,ITA,GK,Napoli,25,1997,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
352,Yıldırım Mert Çetin,TUR,DF,Lecce,25,1997,0.2,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0
353,Junior Messias,BRA,FW|DF,Milan,31,1991,16.6,24,18,9,9,6,5,19,26.3,14,20,4,16,7,31,28,0
354,Tommaso Milanese,ITA,MF,Cremonese,20,2002,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
355,Nikola Milenković,SRB,DF,Fiorentina,24,1997,23.7,40,25,20,17,3,18,27,66.7,9,27,14,13,22,62,72,0
356,Arkadiusz Milik,POL,FW,Juventus,28,1994,17.6,12,8,2,8,2,2,8,25.0,6,10,1,9,1,13,14,0
357,Sergej Milinković-Savić,SRB,MF,Lazio,27,1995,33.6,58,35,22,23,13,24,67,35.8,43,50,12,38,28,86,49,0
358,Vanja Milinković-Savić,SRB,GK,Torino,25,1997,38.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,19,1
359,Kim Min-jae,KOR,DF,Napoli,25,1996,33.9,55,30,32,22,1,25,29,86.2,4,36,26,10,41,96,123,1
360,Aleksei Miranchuk,RUS,MF,Torino,26,1995,23.2,11,5,3,4,4,3,11,27.3,8,11,0,11,2,13,5,0
361,Antonio Mirante,ITA,GK,Milan,39,1983,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
362,Fabio Miretti,ITA,MF|FW,Juventus,18,2003,13.7,24,11,15,6,3,12,29,41.4,17,20,1,19,4,28,11,0
363,Filippo Missori,ITA,DF,Roma,18,2004,2.0,4,3,3,0,1,3,6,50.0,3,0,0,0,3,7,5,0
364,Henrikh Mkhitaryan,ARM,MF,Inter,33,1989,22.1,41,26,13,22,6,14,41,34.1,27,27,4,23,21,62,18,0
365,Salvatore Molina,ITA,DF,Monza,30,1992,2.5,6,5,2,4,0,4,5,80.0,1,4,2,2,1,7,2,0
366,Daniele Montevago,ITA,FW,Sampdoria,19,2003,2.6,1,0,0,0,1,0,1,0.0,1,2,1,1,0,1,1,0
367,Lorenzo Montipò,ITA,GK,Hellas Verona,26,1996,37.0,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,26,3
368,Nikola Moro,CRO,MF,Bologna,24,1998,13.6,32,21,11,15,6,14,36,38.9,22,15,2,13,8,40,18,0
369,Dany Mota,POR,FW|MF,Monza,24,1998,21.2,8,7,1,3,4,2,10,20.0,8,5,1,4,6,14,25,0
370,João Moutinho,POR,DF|FW,Spezia,24,1998,0.6,7,1,5,1,1,3,4,75.0,1,1,1,0,0,7,0,0
371,Mert Müldür,TUR,FW|DF,Sassuolo,23,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
372,Luis Muriel,COL,FW|MF,Atalanta,31,1991,11.9,9,6,2,3,4,5,16,31.3,11,9,0,9,2,11,2,0
373,Jeison Murillo,COL,DF,Sampdoria,30,1992,11.7,22,11,16,6,0,17,26,65.4,9,22,14,8,8,30,39,0
374,Nicola Murru,ITA,DF,Sampdoria,27,1994,8.7,24,14,15,8,1,7,13,53.8,6,17,7,10,10,34,21,0
375,Juan Musso,ARG,GK,Atalanta,28,1994,23.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,11,1
376,Joakim Mæhle,DEN,DF|MF,Atalanta,25,1997,24.5,32,18,12,7,13,22,39,56.4,17,29,6,23,24,56,26,0
377,Herculano Nabian,POR,MF,Empoli,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
378,Michel Ndary Adopo,FRA,MF|DF,Torino,22,2000,2.9,7,2,4,2,1,1,3,33.3,2,2,2,0,1,8,4,0
379,Tanguy Ndombele,FRA,MF,Napoli,25,1996,9.0,14,8,4,8,2,4,7,57.1,3,10,1,9,7,21,7,1
380,Ilija Nestorovski,MKD,FW|MF,Udinese,32,1990,7.1,7,3,2,1,4,5,11,45.5,6,6,1,5,2,9,10,0
381,Cyril Ngonge,BEL,MF|FW,Hellas Verona,22,2000,8.3,7,3,2,2,3,3,11,27.3,8,7,0,7,6,13,4,0
382,Hans Nicolussi Caviglia,ITA,MF,Salernitana,22,2000,6.5,15,6,5,8,2,9,15,60.0,6,9,0,9,7,22,7,1
383,Dimitris Nikolaou,GRE,DF,Spezia,23,1998,32.9,45,32,31,10,4,25,37,67.6,12,41,26,15,27,72,82,0
384,Samuel Ntanda,BEL,MF,Sampdoria,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
385,Bram Nuytinck,NED,DF,Udinese,32,1990,4.3,7,4,3,4,0,4,8,50.0,4,6,6,0,5,12,22,0
386,Bram Nuytinck,NED,DF,Sampdoria,32,1990,16.6,54,38,33,21,0,23,34,67.6,11,36,21,15,23,77,84,0
387,M'Bala Nzola,ANG,FW,Spezia,25,1996,29.5,12,5,0,6,6,3,9,33.3,6,20,6,14,7,19,21,0
