Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
154,Amadou Diawara,GUI,MF,Napoli,21,1997,7.3,618,19,86,455,85,3,618,9,9,100.0,0,0.0,431,1511,663,3,14,0,5,6,475,6
155,Lorenzo Dickmann,ITA,DF|MF,SPAL,21,1996,1.9,73,3,34,26,15,1,73,1,1,100.0,0,0.0,36,152,81,0,0,0,2,1,35,3
156,Mitchell Dijks,NED,DF,Bologna,25,1993,22.5,1244,59,320,532,415,23,1244,68,32,47.1,36,52.9,656,5370,3081,96,75,11,35,23,673,90
157,Federico Dimarco,ITA,DF|MF,Parma,20,1997,9.9,565,36,168,247,164,11,565,12,10,83.3,2,16.7,282,1501,923,21,16,3,12,14,282,33
158,Federico Dionisi,ITA,FW|MF,Frosinone,31,1987,2.3,94,0,1,34,59,14,94,4,1,25.0,3,75.0,65,270,77,2,7,0,6,8,89,22
159,Assane Dioussé,SEN,MF,Chievo,20,1997,9.9,597,25,144,397,70,0,597,9,7,77.8,2,22.2,332,1642,719,6,15,1,12,4,367,8
160,Koffi Djidji,CIV,DF,Torino,25,1992,15.4,787,104,388,375,29,1,787,15,15,100.0,0,0.0,402,2001,872,8,11,1,11,7,397,1
161,Berat Djimsiti,ALB,DF,Atalanta,25,1993,20.1,1279,168,698,544,43,17,1279,5,5,100.0,0,0.0,730,3734,1333,5,8,1,13,4,783,2
162,Johan Djourou,SUI,DF,SPAL,31,1987,3.1,150,22,101,46,3,1,150,2,2,100.0,0,0.0,58,250,112,1,1,0,0,1,83,0
163,Gianluigi Donnarumma,ITA,GK,Milan,19,1999,34.3,1248,1136,1244,4,0,0,1248,0,0,,0,,648,3410,2355,0,0,0,0,1,516,0
164,Godfred Donsah,GHA,MF,Bologna,22,1996,1.7,77,8,20,47,12,0,77,5,5,100.0,0,0.0,43,261,149,4,4,0,2,0,48,3
165,Riccardo Doratiotto,ITA,FW,Cagliari,19,1999,0.9,15,0,1,10,4,1,15,0,0,,0,,8,60,20,1,0,1,3,2,8,3
166,Bartłomiej Drągowski,POL,GK,Fiorentina,20,1997,2.5,111,101,111,0,0,0,111,1,0,0.0,1,100.0,66,301,178,0,0,0,0,0,53,0
167,Bartłomiej Drągowski,POL,GK,Empoli,20,1997,14.0,543,496,542,2,0,0,543,0,0,,0,,248,1556,1156,0,0,0,0,0,153,0
168,Alfred Duncan,GHA,MF,Sassuolo,25,1993,20.5,1040,26,196,582,278,26,1040,34,19,55.9,15,44.1,620,3161,1623,45,32,9,25,31,765,59
169,Riza Durmisi,DEN,DF,Lazio,24,1994,3.6,190,10,39,66,87,13,190,1,1,100.0,0,0.0,100,617,389,16,6,7,6,0,121,25
170,Paulo Dybala,ARG,FW|MF,Juventus,24,1993,23.7,1571,4,110,812,674,69,1570,90,49,54.4,41,45.6,1087,6549,2603,69,57,16,71,43,1243,154
171,Edin Džeko,BIH,FW,Roma,32,1986,28.7,1089,37,67,462,572,193,1089,69,34,49.3,35,50.7,586,3908,1478,64,33,34,76,49,859,246
