Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
62,Jean-Paul Boëtius,NED,MF,Mainz 05,24,1994,23.6,8,0,0,52,47,3,22,37,32,0,0,0,131,23,32,41.8
63,Robin Bormuth,GER,DF,Düsseldorf,22,1995,6.8,2,0,0,5,3,1,1,10,4,0,0,0,24,14,11,56.0
64,Nassim Boujellab,MAR,MF,Schalke 04,19,1999,4.2,0,0,0,11,8,0,0,2,4,0,0,0,26,7,10,41.2
65,Julian Brandt,GER,MF|FW,Leverkusen,22,1996,29.6,0,0,0,13,22,3,147,17,16,0,0,0,189,28,35,44.4
66,Fabian Bredlow,GER,GK,Nürnberg,23,1995,12.5,1,0,0,0,3,0,0,1,1,0,0,0,33,2,2,50.0
67,Josip Brekalo,CRO,FW|MF,Wolfsburg,20,1998,15.7,2,0,0,16,21,2,56,12,7,0,0,0,71,6,15,28.6
68,Joshua Brenet,NED,DF,Hoffenheim,24,1994,10.1,0,0,0,20,5,0,39,8,13,0,0,0,60,8,16,33.3
69,John Brooks,USA,DF,Wolfsburg,25,1993,29.0,7,0,0,14,12,0,0,37,15,0,1,0,133,77,28,73.3
70,Daniel Brosinski,GER,DF,Mainz 05,30,1988,24.5,2,0,0,13,13,1,119,26,16,0,1,0,117,22,29,43.1
71,Bruma,POR,MF,RB Leipzig,23,1994,6.1,1,0,0,4,6,0,16,4,2,0,0,0,40,1,6,14.3
72,Jeffrey Bruma,NED,DF,Schalke 04,26,1991,6.9,4,0,0,9,2,0,1,4,11,0,1,1,38,20,12,62.5
73,Jacob Bruun Larsen,DEN,FW,Dortmund,19,1998,14.1,0,0,0,3,9,4,16,13,9,0,0,0,49,14,18,43.8
