Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
642,Aurélien Tchouaméni,FRA,MF,Monaco,20,2000,36,3063,85,89.6,34.0,36,85,26,0,,0,2.08,67,39,+28,+0.82,-0.69,60.3,31.5,+28.8,+0.85,-0.48
643,Martin Terrier,FRA,FW|MF,Rennes,23,1997,34,2436,72,71.2,27.1,30,78,7,4,22,0,1.56,35,23,+12,+0.44,+0.44,30.4,26.4,+4.0,+0.15,-0.38
644,Kenny Tete,NED,DF,Lyon,24,1995,1,20,20,0.6,0.2,0,,0,1,20,0,3.00,0,0,0,0.00,-1.01,0.2,0.0,+0.1,+0.53,-0.53
645,Florian Thauvin,FRA,FW|MF,Marseille,27,1993,36,2732,76,79.9,30.4,33,81,13,3,25,0,1.61,43,34,+9,+0.30,+0.56,40.5,34.2,+6.3,+0.21,+1.09
646,Sada Thioub,SEN,FW|MF,Angers,25,1995,27,1256,47,36.7,14.0,12,71,1,15,27,2,1.00,13,22,-9,-0.64,-0.27,13.1,21.5,-8.5,-0.61,-0.51
647,Romain Thomas,FRA,DF,Angers,32,1988,34,3024,89,88.4,33.6,34,89,32,0,,1,1.12,32,45,-13,-0.39,+0.75,36.7,43.5,-6.8,-0.20,+0.66
648,Adrien Thomasson,FRA,MF|FW,Strasbourg,26,1993,37,2624,71,76.7,29.2,31,81,12,6,19,0,1.11,38,41,-3,-0.10,+0.58,40.1,37.1,+3.0,+0.10,+0.20
649,Khéphren Thuram,FRA,MF,Nice,19,2001,29,1494,52,43.7,16.6,17,75,6,12,19,6,1.55,25,21,+4,+0.24,+0.57,21.2,24.7,-3.4,-0.21,-0.01
650,Cheikh Tidiane Sabaly,SEN,FW,Metz,21,1999,1,12,12,0.4,0.1,0,,0,1,12,1,0.00,0,0,0,0.00,+0.11,0.4,0.0,+0.4,+2.87,+3.02
651,Jean-Clair Todibo,FRA,DF,Nice,20,1999,15,1330,89,38.9,14.8,15,89,13,0,,0,1.67,24,20,+4,+0.27,+0.57,20.8,20.2,+0.6,+0.04,+0.40
652,Karl Toko Ekambi,CMR,FW,Lyon,27,1992,35,2811,80,82.2,31.2,34,81,14,1,45,0,1.97,69,37,+32,+1.02,+0.14,68.6,33.7,+34.9,+1.12,+0.39
653,Tyron Tormin,FRA,FW|MF,Saint-Étienne,19,2001,3,21,7,0.6,0.2,0,,0,3,7,1,0.00,0,1,-1,-4.29,-3.99,0.2,0.3,-0.1,-0.42,-0.39
654,Abdoulaye Touré,GUI,MF,Nantes,26,1994,29,1681,58,49.2,18.7,20,78,11,9,14,7,0.83,18,28,-10,-0.54,-0.64,22.0,24.8,-2.8,-0.15,-0.06
655,Adama Traoré,MLI,FW|MF,Metz,25,1995,0,,,,,0,,,0,,4,,,,,,,,,,,
656,Amadou Traore,FRA,FW|MF,Bordeaux,18,2002,19,304,16,8.9,3.4,0,,0,19,16,8,1.26,2,7,-5,-1.48,-1.22,3.5,5.8,-2.3,-0.67,-0.40
657,Bertrand Traoré,BFA,FW|MF,Lyon,24,1995,0,,,,,0,,,0,,2,,,,,,,,,,,
