Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
466,Óscar Mingueza,ESP,DF,Barcelona,22,1999,19,894,47,26.1,9.9,9,79,3,10,18,16,1.74,13,10,+3,+0.30,-0.66,14.0,8.1,+5.8,+0.59,-0.24
467,Ignasi Miquel,ESP,DF,Getafe,28,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
468,Rafa Mir,ESP,FW,Sevilla,24,1997,34,1808,53,52.9,20.1,18,78,9,16,25,0,1.82,35,23,+12,+0.60,-0.02,23.4,21.1,+2.3,+0.12,-0.06
469,Jorge Miramón,ESP,DF,Levante,32,1989,29,1977,68,57.8,22.0,22,85,15,7,16,4,1.10,28,43,-15,-0.68,-0.06,34.4,34.4,0.0,0.00,0.00
470,Juan Miranda,ESP,DF,Betis,21,2000,13,783,60,22.9,8.7,9,83,6,4,9,17,1.54,10,6,+4,+0.46,-0.15,10.3,7.5,+2.8,+0.32,+0.08
471,Stefan Mitrović,SRB,DF,Getafe,31,1990,32,2667,83,78.0,29.6,31,85,24,1,24,4,1.09,31,32,-1,-0.03,+0.80,23.6,29.3,-5.8,-0.19,+0.23
472,Luka Modrić,CRO,MF,Real Madrid,35,1985,28,2032,73,59.4,22.6,25,79,6,3,22,2,2.29,47,20,+27,+1.20,-0.23,42.0,24.4,+17.6,+0.78,+0.12
473,Johan Mojica,COL,DF,Elche,28,1992,33,2855,87,83.5,31.7,32,89,28,1,13,1,1.18,33,40,-7,-0.22,+0.58,28.4,49.1,-20.7,-0.65,+0.11
474,Jorge Molina,ESP,FW,Granada,39,1982,35,1966,56,57.5,21.8,19,84,10,16,23,2,0.97,30,35,-5,-0.23,+0.51,27.0,33.3,-6.3,-0.29,+0.70
475,Victor Mollejo,ESP,FW|MF,Mallorca,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
476,Jon Moncayola,ESP,MF,Osasuna,23,1998,36,2915,81,85.2,32.4,33,86,21,3,22,1,1.22,30,41,-11,-0.34,+0.20,29.7,38.6,-8.9,-0.28,-0.15
477,Monchu,ESP,MF,Granada,21,1999,14,668,48,19.5,7.4,7,77,3,7,18,7,1.21,6,11,-5,-0.67,-0.28,7.1,12.4,-5.3,-0.72,-0.16
478,Gonzalo Montiel,ARG,DF,Sevilla,24,1997,18,1066,59,31.2,11.8,15,67,6,3,20,12,1.72,16,11,+5,+0.42,-0.27,10.6,11.7,-1.1,-0.09,-0.34
479,Ángel Montoro,ESP,MF,Granada,33,1988,24,1331,55,38.9,14.8,13,73,4,11,34,3,0.67,17,30,-13,-0.88,-0.71,14.4,26.4,-12.0,-0.81,-0.37
480,Martín Montoya,ESP,DF,Betis,30,1991,6,518,86,15.1,5.8,6,86,5,0,,8,1.33,9,8,+1,+0.17,-0.48,7.1,7.8,-0.7,-0.12,-0.46
481,Jon Morcillo,ESP,MF|FW,Athletic Club,22,1998,7,54,8,1.6,0.6,0,,0,7,8,12,1.00,1,1,0,0.00,-0.19,2.0,1.1,+0.9,+1.47,+1.19
482,Alberto Moreno,ESP,MF|DF,Villarreal,29,1992,24,1223,51,35.8,13.6,13,75,3,11,23,3,1.58,19,9,+10,+0.74,+0.08,22.3,14.5,+7.7,+0.57,+0.09
483,Alberto Moreno,ESP,MF,Atlético Madrid,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
484,Álex Moreno,ESP,DF,Betis,28,1993,30,2404,80,70.3,26.7,28,84,22,2,22,2,1.80,49,30,+19,+0.71,+0.45,41.0,31.9,+9.2,+0.34,+0.26
485,Gerard Moreno,ESP,FW,Villarreal,29,1992,17,1191,70,34.8,13.2,14,78,9,3,35,1,1.35,22,14,+8,+0.60,-0.12,22.2,13.1,+9.1,+0.69,+0.27
