Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
157,Óscar Duarte,CRC,DF,Levante,32,1989,19.7,5,0,0,26,4,2,0,24,8,0,0,0,98,67,35,65.7
158,Rubén Duarte,ESP,DF,Alavés,25,1995,29.1,12,1,1,45,40,2,119,57,47,1,1,0,163,54,37,59.3
159,Unai Dufur,ESP,DF,Osasuna,22,1999,1.0,0,0,0,1,0,0,0,4,0,0,0,0,8,2,2,50.0
160,Hugo Duro,ESP,DF|MF,Getafe,21,1999,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,66.7
161,Hugo Duro,ESP,FW|MF,Valencia,21,1999,20.4,3,1,1,29,44,7,12,4,19,2,1,0,64,39,68,36.4
162,Aritz Elustondo,ESP,DF,Real Sociedad,27,1994,23.4,3,1,0,18,22,2,5,29,14,0,1,0,123,54,23,70.1
163,Adri Embarba,ESP,FW|MF,Espanyol,29,1992,22.1,4,0,0,30,43,7,192,19,29,0,0,0,108,17,31,35.4
164,Emerson,BRA,DF,Barcelona,22,1999,1.0,0,0,0,3,3,0,2,2,3,0,0,0,2,0,1,0.0
165,Youssef En-Nesyri,MAR,FW,Sevilla,24,1997,14.2,1,0,0,11,10,18,5,4,5,1,0,0,28,45,51,46.9
166,Gonzalo Escalante,ARG,MF,Alavés,28,1993,14.4,8,1,1,25,23,3,3,21,14,1,0,0,93,34,23,59.6
167,Aarón Escandell,ESP,GK,Granada,25,1995,3.2,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,
168,Sergio Escudero,ESP,DF|MF,Granada,31,1989,15.9,6,0,0,14,20,5,30,26,24,0,1,0,90,33,36,47.8
169,Alfonso Espino,URU,DF,Cádiz,29,1992,37.0,6,0,0,50,43,6,150,54,63,0,1,0,278,46,54,46.0
170,Estanis,ESP,FW,Barcelona,17,2003,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0.0
171,Pervis Estupiñán,ECU,DF,Villarreal,23,1998,17.5,3,0,0,24,11,11,73,25,22,0,1,0,126,23,19,54.8
172,Abdessamad Ezzalzouli,MAR,FW,Barcelona,19,2001,6.4,4,0,0,17,15,2,15,9,9,0,0,0,29,3,7,30.0
173,Radamel Falcao,COL,FW,Rayo Vallecano,35,1986,9.3,1,0,0,17,18,15,4,2,1,0,0,0,17,27,33,45.0
174,Fali,ESP,DF|MF,Cádiz,27,1993,20.0,6,0,0,19,11,0,11,24,19,0,0,0,110,31,26,54.4
175,Omar Faraj,SWE,FW,Levante,19,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0
176,Ansu Fati,ESP,FW,Barcelona,18,2002,3.7,0,0,0,9,12,3,3,1,2,1,0,0,10,1,3,25.0
177,Aleix Febas,ESP,MF,Mallorca,25,1996,1.3,1,0,0,2,5,0,0,0,1,0,0,0,9,1,2,33.3
178,Nabil Fekir,FRA,MF,Betis,28,1993,31.0,7,1,0,65,92,9,173,7,29,0,0,0,106,26,48,35.1
179,Felipe,BRA,DF,Atlético Madrid,32,1989,16.7,5,1,0,21,14,2,0,28,15,0,0,0,100,45,29,60.8
180,João Félix,POR,FW|MF,Atlético Madrid,21,1999,14.0,3,1,1,15,57,9,18,7,2,0,0,0,31,19,18,51.4
181,Aitor Fernández,ESP,GK,Levante,30,1991,13.0,1,1,0,1,2,0,0,0,1,0,0,0,20,1,0,100.0
182,Álex Fernández,ESP,MF,Cádiz,28,1992,22.8,2,0,0,15,23,2,69,30,31,0,0,0,164,18,30,37.5
183,Fernando,BRA,MF|DF,Sevilla,34,1987,20.6,6,0,0,16,11,1,1,29,17,0,0,0,131,35,45,43.8
184,Fidel,ESP,MF,Elche,31,1989,25.1,9,0,0,26,29,7,118,7,23,0,1,0,141,6,21,22.2
185,José Fontán,ESP,DF,Celta Vigo,21,2000,3.1,3,0,0,10,0,0,5,10,3,0,1,0,17,4,2,66.7
186,Dimitri Foulquier,FRA,DF,Granada,28,1993,2.0,0,0,0,1,3,0,7,1,0,0,0,0,4,1,3,25.0
187,Dimitri Foulquier,FRA,DF,Valencia,28,1993,26.0,11,0,0,39,40,1,60,29,17,1,1,0,164,20,22,47.6
188,Juan Foyth,ARG,DF,Villarreal,23,1998,21.4,6,1,1,39,22,0,7,20,49,0,1,0,125,36,24,60.0
189,Enric Franquesa,ESP,DF|FW,Levante,24,1997,6.9,1,0,0,7,7,1,10,7,3,0,0,0,28,8,7,53.3
190,Jorge de Frutos,ESP,MF|FW,Levante,24,1997,19.6,4,0,0,39,21,13,69,12,15,0,2,0,96,7,16,30.4
191,Javi Galán,ESP,DF,Celta Vigo,26,1994,36.6,8,0,0,54,75,11,173,45,66,0,0,0,234,25,48,34.2
192,Iñigo Ruiz de Galarreta,ESP,MF,Mallorca,27,1993,15.3,4,0,0,25,33,0,14,20,21,0,0,0,109,18,12,60.0
193,Thiago Galhardo,BRA,FW|MF,Celta Vigo,32,1989,12.8,5,0,0,21,13,16,9,6,6,0,0,0,31,48,66,42.1
194,Álvaro García,ESP,FW|MF,Rayo Vallecano,28,1992,33.3,6,0,0,23,25,11,194,42,23,0,0,0,187,5,23,17.9
195,Dani García,ESP,MF,Athletic Club,31,1990,24.2,9,0,0,44,22,1,4,24,22,0,0,0,132,33,33,50.0
196,David García,ESP,DF,Osasuna,27,1994,34.5,8,0,0,53,21,0,0,52,14,0,1,0,221,134,42,76.1
197,Eric García,ESP,DF,Barcelona,20,2001,22.7,5,1,0,34,5,2,2,44,18,0,1,0,95,32,21,60.4
198,Fran Garcia,ESP,DF,Rayo Vallecano,21,1999,33.6,4,0,0,24,15,2,128,45,35,0,0,0,210,25,37,40.3
199,Joan García,ESP,GK,Espanyol,20,2001,1.2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
200,Manu García,ESP,MF,Alavés,23,1998,12.0,3,0,0,24,33,0,43,13,9,0,0,0,81,3,10,23.1
201,Raúl García,ESP,FW,Athletic Club,35,1986,20.0,3,0,0,49,32,12,20,9,17,0,0,0,62,57,66,46.3
202,Rubén García,ESP,MF|FW,Osasuna,28,1993,26.4,1,0,0,37,28,8,199,24,26,0,1,0,139,28,44,38.9
203,Saúl García,ESP,MF,Alavés,26,1994,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
204,Unai García,ESP,DF,Osasuna,29,1992,15.6,5,0,0,10,7,0,8,22,12,0,1,0,75,34,33,50.7
205,Mario Gaspar,ESP,DF,Villarreal,30,1990,6.9,1,0,0,8,2,0,4,6,4,0,0,0,30,8,11,42.1
206,Gavi,ESP,MF|FW,Barcelona,16,2004,25.7,11,1,1,63,69,12,48,25,18,1,0,0,122,32,35,47.8
207,Bryan Gil,ESP,MF|FW,Valencia,20,2001,8.4,3,0,0,13,20,7,44,1,8,0,0,0,54,1,7,12.5
208,Óscar Gil,ESP,DF,Espanyol,24,1997,18.8,7,0,0,36,24,2,38,19,35,0,0,0,72,6,24,20.0
209,Mario Gila,ESP,DF,Real Madrid,20,2000,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,
210,Dani Gómez,ESP,FW,Levante,23,1998,11.8,1,0,0,18,20,11,5,3,4,1,0,0,32,4,29,12.1
211,Maxi Gómez,URU,FW,Valencia,24,1996,21.7,7,1,1,49,55,10,19,3,3,1,0,0,48,82,67,55.0
212,Moi Gómez,ESP,MF|FW,Villarreal,27,1994,14.3,2,0,0,22,11,1,33,6,7,0,0,0,76,11,14,44.0
213,Papu Gómez,ARG,FW|MF,Sevilla,33,1988,19.8,4,0,0,21,48,1,57,7,11,0,0,0,80,10,20,33.3
214,Sergi Gómez,ESP,DF,Espanyol,29,1992,30.2,1,1,0,11,4,0,0,40,24,0,0,0,103,39,50,43.8
215,Victor Gomez,ESP,DF,Espanyol,21,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,Maxime Gonalons,FRA,MF,Granada,32,1989,17.2,6,0,0,29,31,0,6,18,28,0,0,0,110,33,16,67.3
217,Diego González,ESP,DF,Elche,26,1995,19.9,3,1,0,25,3,0,0,19,16,0,1,0,85,27,27,50.0
218,Édgar González,ESP,DF,Betis,24,1997,16.3,6,0,0,21,8,0,1,23,19,0,0,0,70,32,34,48.5
219,Giovanni González,URU,DF,Mallorca,26,1994,4.1,1,0,0,3,3,0,10,4,3,0,0,0,20,6,12,33.3
220,Nicolás González,ESP,MF,Barcelona,19,2002,12.4,6,0,0,37,19,1,7,6,20,0,0,0,66,5,13,27.8
221,Peter González,DOM,MF|DF,Real Madrid,19,2002,0.3,0,0,0,0,2,0,1,1,0,0,0,0,3,0,1,0.0
222,Roberto González,ESP,FW|MF,Betis,20,2001,1.5,0,0,0,2,3,0,1,1,4,0,0,0,2,1,1,50.0
